Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genres,Opening Weekend ($),Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), % of Gross earned abroad,Budget ($million),Budget recovered,Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),"financial source, if not The numbers",Film list here: https://www.boxofficemojo.com/year/2019/?ref_=bo_yl_table_5
The Hustle,2019,remake,14,35,25,45,35,10,40,-16,,comedy,13007709,13,35417038,35.4,59.6,59600000,95017038,95,62.7,21,452.46%,61.90%,,,https://www.amazon.co.uk/Hustle-Timothy-Simons/dp/B07X5BW6D9/ref=sr_1_1?keywords=The+Hustle&qid=1577974393&s=instant-video&sr=1-1,,United Artists Releasing,5.4,-9,"May 10, 2019",,
The Intruder,2019,original screenplay,32,39,36,70,47,23,59,-23,,thriller,10855054,10.9,35388976,35.4,1.2,1180239,36569215,36.6,3.3,10,365.69%,109.00%,,,https://www.amazon.co.uk/Intruder-Dennis-Quaid/dp/B07RG5VS6L/ref=sr_1_1?keywords=The+Intruder&qid=1577974400&s=instant-video&sr=1-1,,Sony Pictures,5.6,14,"May 3, 2019",,
The Kid Who Would be King,2019,original screenplay,90,66,78,64,59,5,62,17,,"action, adventure, fantasy, family",7173887,7.2,16790790,16.8,12.9,12919249,29710039,29.7,43.4,59,50.36%,12.20%,,,https://www.amazon.co.uk/Kid-Who-Would-Be-King/dp/B07NRR5RCQ/ref=sr_1_1?keywords=The+Kid+Who+Would+be+King&qid=1557074019&s=instant-video&sr=1-1-catcorr,,20th Century Fox,6.1,3,"January 25, 2019",,
The Kitchen,2019,adaptation,22,35,29,69,39,30,54,-26,,drama,5527410,5.5,12180032,12.2,3.7,3700000,15880032,15.9,23.3,38,41.79%,14.47%,,,https://www.amazon.co.uk/Kitchen-Andrea-Berloff/dp/B07Y5QF5P4/ref=sr_1_1?keywords=The+Kitchen&qid=1577974409&s=instant-video&sr=1-1,,Warner Bros. Pictures,5.6,13,"August 9, 2019",,
The Last Black Man in San Francisco,2019,original screenplay,93,83,88,84,71,13,78,11,,drama,235272,0.2,4515719,4.5,0.1,91298,4607017,4.6,2.2,-,-,-,,,https://www.amazon.co.uk/Last-Black-Man-San-Francisco/dp/B0851TV2CJ/ref=sr_1_1?keywords=the+last+black+man+in+san+francisco&qid=1694218652&s=instant-video&sprefix=the+last+black+man+in+san+%2Cinstant-video%2C177&sr=1-1,,A24,7.3,11,"June 7, 2019",,
The LEGO Movie 2: The Second Part,2019,sequel,86,65,76,72,70,2,71,5,,"action, adventure",34115335,34.1,105114150,105.1,79.8,79800000,184914150,184.9,43.2,99,186.78%,34.44%,,,https://www.amazon.co.uk/LEGO-Movie-Second-Part/dp/B07SLDVPSH/ref=sr_1_1?keywords=The+LEGO+Movie+23A+The+Second+Part&qid=1577974425&s=instant-video&sr=1-1,,Warner Bros. Pictures,6.6,6,"February 8, 2019",,
The Lighthouse,2019,original screenplay,92,83,88,71,82,-11,77,11,,drama,427797,0.4,10433604,10.4,0.5,500000,10933604,10.9,4.6,4,273.34%,10.00%,,,https://www.amazon.co.uk/Lighthouse-Willem-Dafoe/dp/B083Z6119B/ref=sr_1_1?crid=11740XYMDL3U7&keywords=the+lighthouse&qid=1694218688&s=instant-video&sprefix=the+lighthouse%2Cinstant-video%2C223&sr=1-1,,A24,7.4,-3,"October 18, 2019",,
The Lion King,2019,remake,53,55,54,88,67,21,78,-24,,adventure,191770759,191.8,543637114,543.6,1112.7,1112675054,1656312168,1656.3,67.2,260,637.04%,73.77%,,,https://www.amazon.co.uk/Lion-King-Donald-Glover-Simba/dp/B07VWS9YJN/ref=sr_1_1?crid=1PXNTUYY6003&keywords=the+lion+king&qid=1577974442&s=instant-video&sprefix=The+Lion+King2Cinstant-video2C166&sr=1-1,,Walt Disney Studios,6.8,20,"July 19, 2019",,
The Mustang,2019,based on a true story,94,77,86,70,60,10,65,21,,drama,71657,0.1,2053910,2.1,0,0,2053910,2.1,0.0,-,-,-,,,https://www.amazon.co.uk/Mustang-Topi-Mandela/dp/B07B2KL1NT/ref=sr_1_3?keywords=The+Mustang&qid=1557074821&s=instant-video&sr=1-3,,Focus Features,6.8,2,"March 15, 2019",,
The Peanut Butter Falcon,2019,original screenplay,95,70,83,96,78,18,87,-5,,adventure,204793,0.2,20437883,20.4,0.3,315805,20753688,20.8,1.4,6.2,334.74%,3.23%,,,https://www.amazon.co.uk/Peanut-Butter-Falcon-Shia-LaBeouf/dp/B0848HFV3Y/ref=sr_1_1?crid=16NGFIKY3539P&keywords=the+peanut+butter+falcon&qid=1694218719&s=instant-video&sprefix=the+peanut+butter+falcon%2Cinstant-video%2C178&sr=1-1,,Roadside Attractions,7.6,20,"August 9, 2019",,
The Prodigy,2019,original screenplay,45,45,45,45,57,-12,51,-6,,"thriller, horror",5853061,5.9,14855506,14.9,0,0,14855506,14.9,0.0,6,247.59%,98.33%,,,https://www.amazon.co.uk/Prodigy-Taylor-Schilling/dp/B07TND47QP/ref=sr_1_1?keywords=The+Prodigy&qid=1577974463&s=instant-video&sr=1-1,,Orion Pictures,5.9,-14,"February 8, 2019",,
The Secret Life of Pets 2,2019,sequel,59,55,57,90,61,29,76,-19,,adventure,46652680,46.7,158257265,158.3,271.2,271176898,429434163,429.4,63.2,80,536.79%,58.38%,,,https://www.amazon.co.uk/Secret-Life-Pets-2/dp/B07S864VL4/ref=sr_1_1?crid=3G9A0QJXDYSLA&keywords=the+secret+life+of+pets+2&qid=1577974471&s=instant-video&sprefix=The+Secret+Life+of+Pets+22Cinstant-video2C146&sr=1-1,,Universal Pictures,6.4,26,"June 7, 2019",,
The Sun is Also a Star,2019,adaptation,51,52,52,64,59,5,62,-10,,drama,2511530,2.5,4950029,5,1.7,1700000,6650029,6.7,25.4,9,73.89%,27.78%,,,https://www.amazon.co.uk/Sun-Also-Star-Ry-Russo-Young/dp/B0823P4Q71/ref=sr_1_1?keywords=The+Sun+is+Also+a+Star&qid=1577974479&s=instant-video&sr=1-1,,Warner Bros. Pictures,5.9,5,"May 17, 2019",,
The Upside,2019,remake,40,46,43,85,53,32,69,-26,,"comedy, drama",20355000,20.4,107839886,107.8,13.2,13200000,121039886,121,10.9,37.5,322.77%,54.40%,,,https://www.amazon.co.uk/Upside-Bryan-Cranston/dp/B07Q1DHGH8/ref=sr_1_1?crid=HLLYD728UVEG&keywords=the+upside&qid=1557072629&s=instant-video&sprefix=The+Upside2Cinstant-video2C141&sr=1-1,,STX Entertainment,7.0,15,"January 11, 2019",,
Tolkien,2019,based on a true story,51,48,50,75,52,23,64,-14,,drama,2200537,2.2,4535154,4.5,3.2,3241259,7776413,7.8,41.0,20,38.88%,11.00%,,,https://www.amazon.co.uk/Tolkien-Dome-Karukoski/dp/B07RBMYZVV/ref=sr_1_1?keywords=Tolkien&qid=1577974509&s=instant-video&sr=1-1,,Fox Searchlight,6.8,7,"May 10, 2019",,
Toy Story 4,2019,sequel,97,84,91,94,80,14,87,4,,adventure,120908065,120.9,434037417,434,639.4,639356585,1073394002,1073.4,59.6,200,536.70%,60.45%,Oscar Winner,Best Animated Feature Film,https://www.amazon.co.uk/Toy-Story-Tom-Hanks-Woody/dp/B07TK1Y4PC/ref=sr_1_1?crid=SZHGCXBTPJN9&keywords=toy+story+4&qid=1577974517&s=instant-video&sprefix=Toy+Story+42Cinstant-video2C154&sr=1-1,,Walt Disney Studios,7.7,17,"June 21, 2019",,
Tyler Perry's A Madea Family Funeral,2019,original screenplay,13,39,26,24,37,-13,31,-5,,comedy,27062332,27.1,72090992,72.1,1.1,1136218,73227210,73.2,1.5,20,366.14%,135.50%,,,https://www.amazon.co.uk/Tyler-Perrys-Madea-Family-Funeral/dp/B07S86XJD4/ref=sr_1_1?keywords=Tyler+Perry27s+A+Madea+Family+Funeral&qid=1577974532&s=instant-video&sr=1-1,,Lionsgate,4.6,-22,"March 1, 2019",,
UglyDolls,2019,original screenplay,28,39,34,56,45,11,51,-17,,adventure,8603407,8.6,20150241,20.2,12.3,12300000,32450241,32.5,37.8,45,72.11%,19.11%,,,https://www.amazon.co.uk/Uglydolls-Kelly-Clarkson/dp/B07X34W9X8/ref=sr_1_1?crid=1ZQEG7LLXCS3Y&keywords=uglydolls&qid=1577974539&s=instant-video&sprefix=UglyDolls2Cinstant-video2C151&sr=1-1,,STX Entertainment,5.1,5,"May 3, 2019",,
Uncut Gems,2019,original screenplay,91,91,91,52,72,-20,62,29,,"crime, drama, thriller",537242,0.5,50023780,50.0,-,-,-,-,-,19.0,-,2.63%,,,-,,A24,7.4,-22,"December 25, 2019",,
Unplanned,2019,adaptation,50,11,31,93,75,18,84,-54,,"biography, drama",6382298,6.4,12548155,12.5,0,0,12548155,12.5,0.0,6,209.14%,106.67%,,,https://www.amazon.co.uk/Unplanned-Ashley-Bratcher/dp/B07VGMRKLV/ref=sr_1_1?crid=Q8N5Y9JIGNWQ&keywords=unplanned&qid=1577974547&s=instant-video&sprefix=Unplanned2Cinstant-video2C145&sr=1-1,,Pure Flix,5.5,38,"March 29, 2019",,
Us,2019,original screenplay,94,81,88,68,67,1,68,20,,"horror, thriller",71117625,71.1,152381515,152.4,64.2,64200000,216581515,216.6,29.6,20,1082.91%,355.50%,,,https://www.amazon.co.uk/Us-Lupita-Nyongo/dp/B07PSK5FSZ/ref=sr_1_1?keywords=Us&qid=1557072508&s=instant-video&sr=1-1,,Universal Pictures,6.8,0,"March 22, 2019",,
War,2019,original screenplay,73,-,-,80,-,-,-,-,,action,21000000,21,3640355,3.6,62.5,62525155,66165510,66.2,94.4,21,315.07%,100.00%,,,https://www.amazon.co.uk/War-Hindi-UHD-Hrithik-Roshan/dp/B081CZC9FD/ref=sr_1_4?crid=2T8NHHNVTGQPO&keywords=war+2019&qid=1577974570&s=instant-video&sprefix=War+20192Cinstant-video2C140&sr=1-4,,Yash Raj Films,6.5,15,"October 2, 2019",,
What Men Want,2019,remake,45,49,47,32,27,5,30,18,,"fantasy, comedy, romance",18232087,18.2,54584109,54.6,15.7,15672610,70256719,70.3,22.3,20,351.28%,91.00%,,,https://www.amazon.co.uk/What-Men-Want-Taraji-Henson/dp/B07PRQVBFY/ref=sr_1_1?keywords=What+Men+Want&qid=1557072759&s=instant-video&sr=1-1,,Paramount Pictures,5.4,-22,"February 8, 2019",,
Where’d You Go Bernadette,2019,adaptation,49,51,50,74,65,9,70,-20,,comedy,3462308,3.5,9198356,9.2,0.9,894768,10093124,10.1,8.9,18,56.07%,19.44%,,,https://www.amazon.co.uk/Whered-You-Bernadette-Cate-Blanchett/dp/B08YRSZNT9/ref=sr_1_1?crid=3QDQT2MG9EO54&keywords=whered+you+go+bernadette&qid=1694218733&s=instant-video&sprefix=whered+you+go+bernadette%2Cinstant-video%2C182&sr=1-1,,Annapurna Pictures,6.5,9,"August 16, 2019",,
Wonder Park,2019,original screenplay,31,46,39,36,48,-12,42,-4,,"adventure, fantasy, comedy, family",15853646,15.9,42096042,42.1,18,18000000,60096042,60.1,30.0,90,66.77%,17.67%,,,https://www.amazon.co.uk/Wonder-Park-No-Director/dp/B07QBQWFTK/ref=sr_1_1?crid=19MJLWJTZCCHH&keywords=wonder+park&qid=1557072831&s=instant-video&sprefix=Wonder+Park2Cinstant-video2C148&sr=1-1,,Paramount Pictures,5.8,-22,"March 15, 2019",,
Yesterday,2019,original screenplay,63,56,60,89,63,26,76,-17,,drama,17010050,17,73286650,73.3,78,78000000,151286650,151.3,51.6,26,581.87%,65.38%,,,https://www.amazon.co.uk/Yesterday-Himesh-Patel/dp/B07T772V17/ref=sr_1_1?crid=31DQ6K986Z699&keywords=yesterday&qid=1577974606&s=instant-video&sprefix=Yesterday2Cinstant-video2C154&sr=1-1,,Universal Pictures,6.8,21,"June 28, 2019",,
Zombieland: Double Tap,2019,sequel,69,56,63,88,57,31,73,-10,,comedy,26803104,26.8,72308744,72.3,45.5,45499256,117808000,117.8,38.6,42,280.50%,63.81%,,,https://www.amazon.co.uk/Zombieland-Double-Tap-Woody-Harrelson/dp/B07Z61Z1CJ/ref=sr_1_1?keywords=Zombieland3A+Double+Tap&qid=1577974613&s=instant-video&sr=1-1,,Sony Pictures,6.7,21,"October 18, 2019",,
