Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genres,Opening Weekend ($),Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), % of Gross earned abroad,Budget ($million),Budget recovered,Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),"financial source, if not The numbers",Film list here: https://www.boxofficemojo.com/year/2019/?ref_=bo_yl_table_5
Harriet,2019,based on a true story,73,66,70,97,62,35,80,-10,,drama,11676720,11.7,39911835,39.9,0.2,200000,40111835,40.1,0.5,17.0,235.95%,68.82%,,,https://www.amazon.co.uk/Harriet-Cynthia-Erivo/dp/B081FZN6LJ/ref=sr_1_2?crid=3U295XG3A97Y&keywords=harriet&qid=1577973505&s=instant-video&sprefix=Harriet2Cinstant-video2C235&sr=1-2,,Focus Features,6.7,30,"Nov 1, 2019",,
Hellboy,2019,adaptation,17,31,24,51,54,-3,53,-29,,horror,12045147,12.0,21903748,21.9,22.8,22760942,44664690,44.7,51.0,50.0,89.33%,24.00%,,,https://www.amazon.co.uk/Hellboy-David-Harbour/dp/B07QHCB4VH/ref=sr_1_1?crid=10ABMQ49YVJ30&keywords=hellboy+2019&qid=1577973514&s=instant-video&sprefix=Hellboy2Cinstant-video2C149&sr=1-1,,Lionsgate,5.2,-1,"Apr 12, 2019",,
Honey Boy,2019,original screenplay,95,73,84,92,74,18,83,1,,drama,301065,0.3,3012615,3.0,0.4,403106,3415721,3.4,11.8,3.5,97.59%,8.57%,,,https://www.amazon.co.uk/Honey-Boy-Shia-LaBeouf/dp/B089581RV3/ref=sr_1_1?crid=DGN2CK78UH5H&keywords=honey+boy&qid=1694550467&s=instant-video&sprefix=honey+boy%2Cinstant-video%2C153&sr=1-1,,Amazon Studios,7.2,20,"Nov 8, 2019",,
How to Train Your Dragon: The Hidden World,2019,sequel,90,71,81,88,83,5,86,-5,,"action, adventure",55022245,55.0,156700470,156.7,352.0,352000000,508700470,508.7,69.2,129.0,394.34%,42.64%,,,https://www.amazon.co.uk/How-Train-Your-Dragon-Hidden/dp/B07ND42WCQ/ref=sr_1_1?keywords=How+to+Train+Your+Dragon3A+The+Hidden+World&qid=1557072419&s=instant-video&sr=1-1-catcorr,,Universal Pictures,7.4,14,"Feb 22, 2019",,
Hustlers,2019,original screenplay,88,79,84,65,60,5,63,21,,comedy,33181361,33.2,104925146,104.9,45.6,45600000,150525146,150.5,30.3,20.0,752.63%,166.00%,,,https://www.amazon.co.uk/Hustlers-Julia-Stiles/dp/B07Y2FVBW2/ref=sr_1_1?crid=3SVPHW57QQ3UM&keywords=hustlers&qid=1577973536&s=instant-video&sprefix=Hustlers2Cinstant-video2C144&sr=1-1,,STX Entertainment,6.3,2,"Sep 13, 2019",,
Isn't It Romantic,2019,original screenplay,69,60,65,50,57,-7,54,11,,"fantasy, comedy, romance",14247758,14.2,48429584,48.4,0.0,0,48429584,48.4,0.0,31.0,156.22%,45.81%,,,https://www.amazon.co.uk/Isnt-Romantic-Rebel-Wilson/dp/B084RR9SSY/ref=sr_1_1?keywords=isn%27t+it+romantic&qid=1694218426&s=instant-video&sprefix=isnt+it+roman%2Cinstant-video%2C319&sr=1-1,,Warner Bros. Pictures,5.9,-9,"Feb 13, 2019",,
It: Chapter Two,2019,sequel,62,58,60,78,65,13,72,-12,,horror,91062152,91.1,211591984,211.6,258.9,258900000,470491984,470.5,55.0,79.0,595.56%,115.32%,,,https://www.amazon.co.uk/Chapter-Two-Jessica-Chastain/dp/B07XKF92TF/ref=sr_1_1?crid=1JL3OOI8YCA9I&keywords=it+chapter+two&qid=1577973553&s=instant-video&sprefix=It3A+Chapter+Two2Cinstant-video2C148&sr=1-1,,Warner Bros. Pictures,6.5,13,"Sep 6, 2019",,
Jay and Silent Bob Reboot,2019,sequel,71,46,59,94,61,33,78,-19,,comedy,93520,0.1,2801841,2.8,0.1,99748,2901589,2.9,3.4,10.0,29.02%,1.00%,,,https://www.amazon.co.uk/Jay-Silent-Reboot-Kevin-Smith/dp/B081HXV71Z/ref=sr_1_1?keywords=Jay+and+Silent+Bob+Reboot&qid=1577973564&s=instant-video&sr=1-1,,Saban Films,5.6,38,"Oct 15, 2019",,
Jexi,2019,original screenplay,11,39,25,71,21,50,46,-21,,comedy,3106730,3.1,6546159,6.5,0.9,906254,7452413,7.5,12.0,5.0,149.05%,62.00%,,,https://www.amazon.co.uk/Jexi-Adam-Devine/dp/B08DKJSM5W/ref=sr_1_1?crid=NB1QR484UBS1&keywords=jexi&qid=1694218435&s=instant-video&sprefix=jexi%2Cinstant-video%2C182&sr=1-1,,Lionsgate,6.0,11,"Oct 11, 2019",,
John Wick: Chapter 3 - Parabellum,2019,sequel,90,73,82,86,78,8,82,-1,,action,56818067,56.8,171015687,171.0,155.7,155679317,326695004,326.7,47.7,75.0,435.59%,75.73%,,,https://www.amazon.co.uk/John-Wick-Chapter-3-Parabellum/dp/B07RTBCRN6/ref=sr_1_fkmr0_1?keywords=JexiJohn+Wick3A+Chapter+3+E28094+Parabellum&qid=1577973585&s=instant-video&sr=1-1-fkmr0,,Lionsgate,7.4,12,"May 17, 2019",,
Jojo Rabbit,2019,adaptation,79,58,69,95,62,33,79,-10,,comedy,349555,0.3,18647613,18.6,2.6,2587705,21235318,21.2,12.3,14.0,151.68%,2.14%,,,https://www.amazon.co.uk/Jojo-Rabbit-Roman-Griffin-Davis/dp/B084QJ5QZB/ref=sr_1_1?crid=HK4J2510RXQX&keywords=jojo+rabbit&qid=1694218444&s=instant-video&sprefix=jojo+rabb%2Cinstant-video%2C238&sr=1-1,,Fox Searchlight,7.9,16,"Oct 18, 2019",,
Joker,2019,adaptation,69,59,64,88,92,-4,90,-26,,thriller,96202337,96.2,330964838,331.0,722.8,722800000,1053764838,1053.8,68.6,55.0,1915.94%,174.91%,Oscar Winner,"Best Actor, Best Original Score",https://www.amazon.co.uk/Joker-Joaquin-Phoenix/dp/B07YP8JS6J/ref=sr_1_1?crid=2DMKQQCH5NS38&keywords=joker&qid=1577973602&s=instant-video&sprefix=Joker2Cinstant-video2C163&sr=1-1,,Warner Bros. Pictures,8.4,4,"Oct 4, 2019",,
Judy,2019,based on a true story,83,66,75,85,70,15,78,-3,,drama,2916548,2.9,23898614,23.9,13.3,13293898,37192512,37.2,35.8,175.0,21.25%,1.66%,Oscar Winner,"Best Actress, Best Makeup and Hairstyling",https://www.amazon.co.uk/Judy-Rupert-Goold/dp/B07YSZZ4YM/ref=sr_1_2?crid=LJDQNX0VHB1T&keywords=judy&qid=1577973611&s=instant-video&sprefix=Judy2Cinstant-video2C162&sr=1-2,,Roadside Attractions,6.8,17,"Sep 27, 2019",,
Jumanji: The Next Level,2019,sequel,71,58,65,87,64,23,76,-11,,"action, adventure, comedy",59251543,59.3,192076805,192.1,297.3,297295047,489371852,489.4,60.7,125.0,391.50%,47.44%,,,https://www.amazon.co.uk/Jumanji-Next-Level-Dwayne-Johnson/dp/B0825CCP1Z/ref=sr_1_2?crid=32SDFJT8YCWX6&keywords=jumanji+the+next+level&qid=1577973625&s=instant-video&sprefix=Jumanji3A+The+Next+Level2Cinstant-video2C144&sr=1-2,,Sony Pictures,6.7,20,"Dec 13, 2019",,
Knives Out,2019,original screenplay,97,82,90,92,69,23,81,9,,drama,26769548,26.8,47628053,47.6,60.6,60600000,108228053,108.2,56.0,40.0,270.57%,67.00%,,,https://www.amazon.co.uk/Knives-Out-Daniel-Craig/dp/B081YPJM7V/ref=sr_1_1?crid=1K86CDB20NHM&keywords=knives+out+2019&qid=1577973643&s=instant-video&sprefix=Knives+Out2Cinstant-video2C149&sr=1-1,,Lionsgate,7.9,13,"Nov 27, 2019",,
Last Christmas,2019,original screenplay,47,50,49,81,49,32,65,-17,,"romance, comedy",11441055,11.4,32280165,32.3,51.3,51300000,83580165,83.6,61.4,25.0,334.32%,45.60%,,,https://www.amazon.co.uk/Last-Christmas-Emilia-Clarke/dp/B0812N3TFJ/ref=sr_1_1?keywords=Last+Christmas&qid=1577973651&s=instant-video&sr=1-1,,Universal Pictures,6.5,16,"Nov 8, 2019",,
Late Night,2019,original screenplay,80,70,75,77,59,18,68,7,,comedy,246305,0.2,15500045,15.5,6.9,6887012,22387057,22.4,30.8,4.0,559.68%,5.00%,,,https://www.amazon.co.uk/Late-Night-Emma-Thompson/dp/B07XF8GS5B/ref=sr_1_1?crid=2IV3B0Q65D333&keywords=late+night&qid=1577973659&s=instant-video&sprefix=Late+Night2Cinstant-video2C149&sr=1-1,,Amazon Studios,6.5,12,"Jun 7, 2019",,
Little,2019,original screenplay,46,49,48,63,53,10,58,-11,,"comedy, fanstasy",15405455,15.4,40860481,40.9,8.3,8347436,49207917,49.2,16.9,20.0,246.04%,77.00%,,,https://www.amazon.co.uk/Little-Regina-Hall/dp/B07QKXZJM4/ref=sr_1_2?crid=1OPB7LBK058GC&keywords=little&qid=1694550438&s=instant-video&sprefix=littl%2Cinstant-video%2C160&sr=1-2,,Universal Pictures,5.5,8,"Apr 12, 2019",,
Little Women,2019,adaptation,95,91,93,93,74,19,84,10,,"drama, romance",16755000,16.8,37605000,37.6,6.3,6343716,43948716,43.9,14.4,40.0,109.87%,42.00%,Oscar Winner,Best Costume Design,https://www.amazon.co.uk/Little-Women-Timothée-Chalamet/dp/B082ZSXN28/ref=sr_1_1?crid=1NU7A2S7CMDIX&keywords=little+women&qid=1694218463&s=instant-video&sprefix=little+women%2Cinstant-video%2C163&sr=1-1,,Sony Pictures,7.8,15,"Dec 25, 2019",,
Long Shot,2019,original screenplay,81,67,74,75,67,8,71,3,,"romance, comedy",9740064,9.7,30316271,30.3,23.1,23142738,53459009,53.5,43.2,40.0,133.65%,24.25%,,,https://www.amazon.co.uk/Long-Shot-Charlize-Theron/dp/B07R5QBNRL/ref=sr_1_1?keywords=Long+Shot&qid=1577973679&s=instant-video&sr=1-1,,Lionsgate,6.8,7,"May 3, 2019",,
Ma,2019,original screenplay,55,53,54,64,54,10,59,-5,,"horror, mystery, thriller",18099805,18.1,45896028,45.9,15.3,15324756,61220784,61.2,25.0,5.0,1224.42%,362.00%,,,https://www.amazon.co.uk/Ma-Octavia-Spencer/dp/B07SGDZ5WM/ref=sr_1_1?crid=G3RVNIWX2BM0&keywords=ma&qid=1694550428&s=instant-video&sprefix=ma%2Cinstant-video%2C153&sr=1-1,,Universal Pictures,5.6,8,"May 31, 2019",,
Maleficent: Mistress of Evil,2019,sequel,40,43,42,95,54,41,75,-33,,adventure,36948713,36.9,111779536,111.8,369.0,369015571,480795107,480.8,76.7,185.0,259.89%,19.95%,,,https://www.amazon.co.uk/Maleficent-Mistress-Evil-4k-UHD/dp/B07ZL396HX/ref=sr_1_2?crid=3FG72PBIMIQ14&keywords=maleficent+mistress+of+evil&qid=1577973701&s=instant-video&sprefix=Maleficent3A+Mistress+of+Evil2Cinstant-video2C148&sr=1-2,,Walt Disney Studios,6.6,29,"Oct 18, 2019",,
Men in Black: International,2019,sequel,23,38,31,66,43,23,55,-24,,adventure,30035838,30.0,80001807,80.0,173.9,173888894,253890701,253.9,68.5,110.0,230.81%,27.27%,,,https://www.amazon.co.uk/Men-Black-International-Chris-Hemsworth/dp/B07SZ4Z61D/ref=sr_1_1?crid=ISQUM9H0TTJZ&keywords=men+in+black+international+prime+video&qid=1577973710&s=instant-video&sprefix=Men+in+Black3A+International2Cinstant-video2C145&sr=1-1,,Sony Pictures,5.6,10,"Jun 14, 2019",,
Midsommar,2019,original screenplay,83,72,78,63,64,-1,64,14,,horror,6560030,6.6,27426363,27.4,13.7,13697409,41123772,41.1,33.3,8.0,514.05%,82.50%,,,https://www.amazon.co.uk/Midsommar-Florence-Pugh/dp/B07YRG9FVS/ref=sr_1_1?keywords=Midsommar&qid=1577973717&s=instant-video&sr=1-1,,A24,7.1,-8,"Jul 3, 2019",,
Midway,2019,based on a true story,43,47,45,92,53,39,73,-28,,action,17897419,17.9,51189922,51.2,54.7,54715413,105905335,105.9,51.7,100.0,105.91%,17.90%,,,https://www.amazon.co.uk/Midway-Ed-Skrein/dp/B0813RB4BB/ref=sr_1_2?crid=2JA9E6RVO9D8Y&keywords=midway+2019&qid=1577973725&s=instant-video&sprefix=Midway2Cinstant-video2C150&sr=1-2,,Lionsgate,6.7,25,"Nov 8, 2019",,
Missing Link,2019,original screenplay,89,68,79,67,74,-7,71,8,,adventure,5944950,5.9,16649539,16.6,9.6,9599930,26249469,26.2,36.6,100.0,26.25%,5.90%,,,https://www.amazon.co.uk/Missing-Link-Hugh-Jackman/dp/B07QBY3PX1/ref=sr_1_1?keywords=Missing+Link&qid=1577973771&s=instant-video&sr=1-1,,United Artists Releasing,6.7,0,"Apr 12, 2019",,
Motherless Brooklyn,2019,adaptation,61,60,61,80,51,29,66,-5,,drama,3500454,3.5,9200043,9.2,4.2,4200000,13400043,13.4,31.3,26.0,51.54%,13.46%,,,https://www.amazon.co.uk/Motherless-Brooklyn-Edward-Norton/dp/B08288YXQG/ref=sr_1_1?crid=2WDFQA0C1R0LK&keywords=motherless+brooklyn+movie&qid=1577973787&s=instant-video&sprefix=Motherless+Brooklyn2Cinstant-video2C145&sr=1-1,,Warner Bros. Pictures,6.8,12,"Nov 1, 2019",,
Once Upon a Time in Hollywood,2019,original screenplay,85,83,84,70,76,-6,73,11,,thriller,41082018,41.1,140998437,141.0,231.0,230952273,371950710,372.0,62.1,90.0,413.28%,45.67%,Oscar Winner,"Best Supporting Actor, Best Production Design",https://www.amazon.co.uk/Once-upon-Hollywood-Leonardo-DiCaprio/dp/B07W7KY3RM/ref=sr_1_1?keywords=Once+Upon+a+Time+in+Hollywood&qid=1577973812&s=instant-video&sr=1-1,,Sony Pictures,7.6,-6,"Jul 26, 2019",,
Overcomer,2019,original screenplay,50,17,34,98,67,31,83,-49,,drama,8146533,8.1,34700142,34.7,2.2,2187497,36887639,36.9,6.0,5.0,737.75%,162.00%,,,https://www.amazon.co.uk/Overcomer-Ben-Davies/dp/B081TP11K8/ref=sr_1_1?crid=35QCA7OXA04B1&keywords=overcomer&qid=1577973823&s=instant-video&sprefix=Overcomer2Cinstant-video2C147&sr=1-1,,Sony Pictures,6.6,32,"Aug 23, 2019",,
Parasite,2019,original screenplay,99,96,98,93,89,4,91,7,,drama,393216,0.4,18274213,18.3,99.0,99030799,117305012,117.3,84.4,11.0,1066.41%,3.64%,Oscar Winner,"Best Picture, Best Director, Best Original Screenplay and Best International Feature Film",https://www.amazon.co.uk/Parasite-Song-Kang-Ho/dp/B085S4G21R/ref=sr_1_1?crid=1OMCY57BNK1EB&keywords=parasite&qid=1694218557&s=instant-video&sprefix=parasite%2Cinstant-video%2C266&sr=1-1,,Neon,8.5,8,"Oct 11, 2019",,
Pet Sematary,2019,adaptation,59,57,58,43,61,-18,52,6,,"mystery, thriller, horror",24502775,24.5,24502775,24.5,17.3,17300000,41802775,41.8,41.4,21.0,199.06%,116.67%,,,https://www.amazon.co.uk/Pet-Sematary-Jason-Clarke/dp/B07Q4QRZTF/ref=sr_1_1?keywords=Pet+Sematary&qid=1557073918&s=instant-video&sr=1-1-catcorr,,Paramount Pictures,5.7,-14,"Apr 5, 2019",,
Playing with Fire,2019,original screenplay,22,24,23,78,34,44,56,-33,,comedy,12723781,12.7,39835194,39.8,7.0,7027580,46862774,46.9,14.9,29.0,161.60%,43.79%,,,https://www.amazon.co.uk/Playing-Fire-Pete-Adeney/dp/B081HVQCTL/ref=sr_1_1?crid=1SR8YT0VZ7VJQ&keywords=playing+with+fire&qid=1577973854&s=instant-video&sprefix=Playing+with+Fire2Cinstant-video2C216&sr=1-1,,Paramount Pictures,5.1,27,"Nov 8, 2019",,
Playmobile: The Movie,2019,original screenplay,17,25,21,60,36,24,48,-27,,"action, adventure, comedy",656530,0.7,1083213,1.1,12.7,12676777,13759990,13.8,92.0,40.0,34.40%,1.75%,,,https://www.amazon.co.uk/Playmobil-Movie-Anya-Taylor-Joy/dp/B07YQ7J26C/ref=sr_1_1?crid=25L24TX7J13R0&keywords=playmobile+the+movie&qid=1577973863&s=instant-video&sprefix=Playmobile3A+The+Movie2Cinstant-video2C151&sr=1-1,,STX Entertainment,4.9,11,"Dec 6, 2019",,
Pokémon: Detective Pikachu,2019,adaptation,68,53,61,80,76,4,78,-18,,adventure,54365242,54.4,144105346,144.1,287.6,287600000,431705346,431.7,66.6,150.0,287.80%,36.27%,,,https://www.amazon.co.uk/PokC3A9mon-Detective-Pikachu-Ryan-Reynolds/dp/B07X2Z79J8/ref=sr_1_1?crid=2TTDEJTFBPIIR&keywords=pokC3A9mon+detective+pikachu&qid=1577973870&s=instant-video&sprefix=PokC3A9mon3A+Detective+Pikachu2Cinstant-video2C148&sr=1-1,,Warner Bros. Pictures,6.5,15,"May 10, 2019",,
Poms,2019,original screenplay,34,36,35,75,57,18,66,-31,,comedy,5361937,5.4,13631124,13.6,2.8,2787094,16418218,16.4,17.1,10.0,164.18%,54.00%,,,https://www.amazon.co.uk/Poms-Diane-Keaton/dp/B08P89KZDJ/ref=sr_1_1?crid=3UZZ2QBUQ33CO&keywords=poms&qid=1694218569&s=instant-video&sprefix=poms%2Cinstant-video%2C352&sr=1-1,,STX Entertainment,6.1,14,"May 10, 2019",,
Queen & Slim,2019,original screenplay,83,75,79,93,57,36,75,4,,drama,11890490,11.9,19490160,19.5,0.0,0,19490160,19.5,0.0,30.0,64.97%,39.67%,,,https://www.amazon.co.uk/Queen-Slim-Jodie-Turner-Smith/dp/B084KMWS1D/ref=sr_1_1?crid=2D4G6JEKT7FPX&keywords=queen+and+slim&qid=1694218586&s=instant-video&sprefix=queen+and+slim%2Cinstant-video%2C212&sr=1-1,,Universal Pictures,7.1,22,"Nov 27, 2019",,
Rambo: Last Blood,2019,sequel,27,26,27,82,79,3,81,-54,,action,18872919,18.9,44819352,44.8,42.2,42222444,87041796,87.0,48.5,50.0,174.08%,37.80%,,,https://www.amazon.co.uk/Rambo-Last-Blood-Sylvester-Stallone/dp/B07XT2QW9F/ref=sr_1_1?crid=17SXH6B9Z6J7W&keywords=rambo+last+blood+2019&qid=1577973894&s=instant-video&sprefix=Rambo3A+Last+Blood2Cinstant-video2C143&sr=1-1,,Lionsgate,6.1,21,"Sep 20, 2019",,
Ready or Not,2019,original screenplay,89,64,77,78,65,13,72,5,,comedy,8015590,8.0,28714231,28.7,28.7,28723219,57437450,57.4,50.0,6.0,957.29%,133.33%,,,https://www.amazon.co.uk/Ready-Not-Matt-Bettinelli-Olpin/dp/B07Y8DH11C/ref=sr_1_1?crid=BS8FFAVGJ7Z&keywords=ready+or+not+movie&qid=1577973905&s=instant-video&sprefix=Ready+or+Not+2Cinstant-video2C147&sr=1-1,,Fox Searchlight,6.9,9,"Aug 21, 2019",,
Replicas,2019,original screenplay,10,19,15,37,42,-5,40,-25,,"sci-fi, drama, mystery, thriller, crime",2375325,2.4,4046429,4.0,0.0,0,4046429,4.0,0.0,30.0,13.49%,8.00%,,,https://www.amazon.co.uk/Replicas-Keanu-Reeves/dp/B07Q258SSR/ref=sr_1_1?keywords=Replicas&qid=1557074736&s=instant-video&sr=1-1,,Entertainment Studios,5.4,-17,"Jan 11, 2019",,
Richard Jewell,2019,based on a true story,77,68,73,96,75,21,86,-13,,"drama, crime, biography",4705265,4.7,22345542,22.3,20.7,20746668,43092210,43.1,48.0,45.0,95.76%,10.44%,,,https://www.amazon.co.uk/Richard-Jewell-Paul-Walter-Hauser/dp/B0849W8833/ref=sr_1_1?crid=1IOEJYROTNABB&keywords=richard+jewell&qid=1694550340&sprefix=richard+jewe%2Caps%2C249&sr=8-1,,Warner Bros. Pictures,7.5,21,"Dec 13, 2019",,
