Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genre,Opening Weekend,Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),"financial source, if not The numbers"
Out of the Furnace,2013,original screenplay,53,63,58,52,73,-21,63,-5,,"Drama, Thriller, Crime",5220288,5.22,11330849,11.33,4.10,4104000,"15,434,849",15,26.59%,22,70.16%,23.73%,,,http://www.amazon.com/gp/product/B00IXE6568/?tag=titb-20,1,,,,"Dec 6, 2013",
Tyler Perry's Temptation,2013,adaptation,15,26,21,66,27,39,47,-26,,Drama,21641679,21.64,51975354,51.98,1.15,1150000,"53,125,354",53,2.16%,20,265.63%,108.21%,,,http://www.amazon.com/gp/product/B00DU70VU4/?tag=titb-20,1,,,,"Mar 29, 2013",
The Conjuring,2013,based on a true story,86,68,77,82,78,4,80,-3,,"Biography, Thriller, Horror",41855326,42,137400141,137,181,180600000,"318,000,144",318,56.79%,20,1590.00%,209.28%,,,http://www.amazon.com/gp/product/B00G32TD98/?tag=titb-20,1,,,,"Jul 19, 2013",
The World's End,2013,original screenplay,89,81,85,71,77,-6,74,11,,"Action, Sci-Fi, Comedy",8811790,8.81,26004851,26.00,20.08,20084436,"46,089,287",46,43.58%,20,230.45%,44.06%,,,http://www.amazon.com/gp/product/B00G0OMZPS/?tag=titb-20,1,,,,"Aug 23, 2013",
Machete Kills,2013,sequel,29,41,35,35,60,-25,48,-13,,"Action, Thriller, Crime",3837183,3.84,8008161,8.01,7.00,7000000,"15,008,161",15,46.64%,20,75.04%,19.19%,,,http://www.amazon.com/gp/product/B00H8C4R3O/?tag=titb-20,1,,,,"Oct 11, 2013",
Scary Movie 5,2013,sequel,4,11,8,39,25,14,32,-25,,"Thriller, Horror, Comedy",14157367,14.16,32015787,32.02,46.36,46362957,"78,378,744",78,59.15%,20,391.89%,70.79%,,,http://www.amazon.com/gp/product/B00EAZCQ8K/?tag=titb-20,1,,,,"Apr 12, 2013",
Texas Chainsaw 3D,2013,sequel,19,31,25,41,46,-5,44,-19,,Horror,21744470,21.74,34341945,34.34,12.90,12900000,"47,241,945",47,27.31%,20,236.21%,108.72%,,,http://www.amazon.com/gp/product/B00CL4BRT6/?tag=titb-20,1,,,,"Jan 4, 2013",
The Book Thief,2013,adaptation,46,53,50,74,73,1,74,-24,,"Drama, War",105005,0.11,21488481,21.49,55.10,55097835,"76,586,316",77,71.94%,19,403.09%,0.55%,,,http://www.amazon.com/gp/product/B00I2X7X7K/?tag=titb-20,1,,,,"Nov 27, 2013",
Evil Dead,2013,original screenplay,62,57,60,63,74,-11,69,-9,,"Thriller, Horror",25775847,25.78,54239856,54.24,43.30,43303096,"97,542,952",98,44.39%,17,573.78%,151.62%,,,http://www.amazon.com/gp/product/B00DHNAQ2Y/?tag=titb-20,1,,,,"Apr 5, 2013",
The Best Man Holiday,2013,sequel,68,59,64,84,60,24,72,-9,,"Drama, Comedy",30107555,30.11,70525195,70.53,1.10,1100000,"71,625,195",72,1.54%,17,421.32%,177.10%,,,http://www.amazon.com/gp/product/B00ID4IATI/?tag=titb-20,1,,,,"Nov 15, 2013",
Mama,2013,adaptation,65,57,61,56,69,-13,63,-2,,"Mystery, Horror",28402310,28.40,71628180,71.63,74.80,74800000,"146,428,180",146,51.08%,15,976.19%,189.35%,,,http://www.amazon.com/gp/product/B00COHAUD4/?tag=titb-20,1,,,,"Jan 18, 2013",
Romeo and Juliet,2013,adaptation,22,41,32,48,59,-11,54,-22,,"Drama, Romance",520116,0.52,1162635,1.16,1.80,1800000,"1,162,637",1,154.82%,15,7.75%,3.47%,,,http://www.amazon.com/gp/product/B00I8H5EK8/?tag=titb-20,1,,,,"Oct 11, 2013",
Jackass Presents: Bad Grandpa,2013,sequel,60,54,57,61,66,-5,64,-7,,"Comedy, Documentary ",32055177,32.06,102003019,102.00,49.83,49828518,"151,831,537",152,32.82%,15,1012.21%,213.70%,,,http://www.amazon.com/gp/product/B00H9UY4J2/?tag=titb-20,1,,,,"Oct 25, 2013",
21 and Over,2013,original screenplay,27,34,31,47,54,-7,51,-20,,Comedy,8754168,8.75,25682380,25.68,22.38,22383292,"48,383,672",48,46.26%,13,372.18%,67.34%,,,http://www.amazon.com/gp/product/B00DGNOJ00/?tag=titb-20,1,,,,"Mar 1, 2013",
The Call,2013,original screenplay,43,51,47,65,65,0,65,-18,,Thriller,17118745,17.12,51872378,51.87,16.70,16700000,"68,572,378",69,24.35%,13,527.48%,131.68%,,,http://www.amazon.com/gp/product/B00DHMI9YM/?tag=titb-20,1,,,,"Mar 15, 2013",
Philomena,2013,based on a true story,92,76,84,89,79,10,84,0,,Drama,128435,0.13,37709979,37.71,62.42,62419893,"100,129,872",100,62.34%,12,834.42%,1.07%,,,http://www.amazon.com/gp/product/B00IGI5CX8/?tag=titb-20,1,,,,"Nov 27, 2013",
About Time,2013,original screenplay,69,55,62,81,82,-1,82,-20,,"Sci-Fi, Drama, Fantasy, Comedy, Romance",1076250,1.08,15322921,15.32,71.78,71777528,"87,100,449",87,82.41%,12,725.84%,8.97%,,,http://www.amazon.com/gp/product/B00I8H7APK/?tag=titb-20,1,,,,"Nov 8, 2013",
Inside Llewyn Davis,2013,adaptation,94,92,93,73,75,-2,74,19,,"Drama, Music",405411,0.41,12235319,12.24,19.70,19700000,"32,935,319",33,59.81%,11,299.41%,3.69%,,,http://www.amazon.com/gp/product/B00IDD5HW2/?tag=titb-20,1,,,,"Jan 10, 2013",
Movie 43,2013,original screenplay,4,18,11,24,30,-6,27,-16,,Comedy,4805878,4.81,8840453,8.84,23.60,23598535,"32,438,988",32,72.75%,6,540.65%,80.10%,,,http://www.amazon.com/gp/product/B00DBT6SI0/?tag=titb-20,1,,,,"Jan 25, 2013",
Instructions Not Included,2013,original screenplay,56,55,56,89,77,12,83,-28,,"Drama, Comedy",7846426,7.85,44467207,44.47,54.60,54600000,"99,067,206",99,55.11%,6,1801.22%,142.66%,,,http://www.amazon.com/gp/product/B00HAWAXW6/?tag=titb-20,1,,,,"Sep 6, 2013",
"The Way, Way Back",2013,original screenplay,85,68,77,84,79,5,82,-5,,"Drama, Comedy",552788,0.55,21506546,21.51,1.69,1692106,"23,198,652",23,7.29%,5,463.97%,11.06%,,,http://www.amazon.com/gp/product/B00FBSP9SO/?tag=titb-20,1,,,,"Jul 5, 2013",
Insidiuous Chapter 2,2013,sequel,38,40,39,57,69,-12,63,-24,,"Thriller, Horror",40272103,40.27,83586447,83.59,78.33,78332871,"161,919,318",162,48.38%,5,3238.39%,805.44%,,,http://www.amazon.com/gp/product/B00GMOR7LS/?tag=titb-20,1,,,,"Sep 13, 2013",
Don Jon,2013,original screenplay,80,66,73,59,70,-11,65,9,,"Drama, Comedy, Romance",8677009,8.68,24477704,24.48,5.97,5973052,"30,450,756",30,19.62%,3,1015.03%,289.23%,,,http://www.amazon.com/gp/product/B00GJ0HSUK/?tag=titb-20,1,,,,"Sep 27, 2013",
The Purge,2013,original screenplay,38,41,40,36,52,-16,44,-5,,"Sci-Fi, Thriller, Horror",34058360,34.06,64473115,64.47,24.86,24855512,"89,328,627",89,27.82%,3,2977.62%,1135.28%,,,http://www.amazon.com/gp/product/B00FPGSCUY/?tag=titb-20,1,,,,"Jun 7, 2013",
The Spectacular Now,2013,adaptation,93,82,88,76,81,-5,79,9,,"Drama, Comedy, Romance",197415,0,6854611,7,0,69980,"6,854,611",7,1.02%,3,274.18%,7.90%,,,http://www.amazon.com/gp/product/B00H4M3GXK/?tag=titb-20,1,,,,"Aug 2, 2013",
A Haunted House,2013,original screenplay,10,20,15,51,51,0,51,-36,,"Horror, Comedy",18101682,18.10,40041683,40.04,20.10,20100000,"60,141,683",60,33.42%,3,2405.67%,724.07%,,,http://www.amazon.com/gp/product/B00CHIG3NQ/?tag=titb-20,1,,,,"Jan 11, 2013",
Kevin Hart: Let Me Explain,2013,original screenplay,63,53,58,72,63,9,68,-10,,"Comedy, Documentary",10030463,10.03,32244051,32.24,0.07,74000,"32,318,051",32,0.23%,3,1292.72%,401.22%,,,http://www.amazon.com/gp/product/B00FWLIWVG/?tag=titb-20,1,,,,"Jul 3, 2013",
Kill Your Darlings,2013,based on a true story,76,65,71,60,67,-7,64,7,,"Biography, Drama, Thriller, Romance",53452,0.05,1030064,1.03,0.60,600000,"1,030,065",1,58.25%,2,51.50%,2.67%,,,http://www.amazon.com/gp/product/B00J2AJW76/?tag=titb-20,1,,,,"Oct 18, 2013",
