Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genre,Opening Weekend,Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),"financial source, if not The numbers"
Captain America: Civil War,2016,sequel,90,75,82.5,89,83,6,86,-4,,Action,179139142,179.14,408084349,408.08,745.22,745220146,1153304495,1153.30,64.62%,250,461%,71.66%,,,https://www.amazon.com/Captain-America-Civil-Bonus-Features/dp/B01F4BYO2E/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219563&sr=1-1&keywords=Captain+America3A+Civil+War,,,,,"May 6, 2016",
Finding Dory,2016,sequel,94,77,85.5,86,74,12,80,6,,Adventure,135060273,135.06,486088707,486.09,539.34,539342116,1025430823,1025.43,52.60%,200,513%,67.53%,,,https://www.amazon.com/Finding-Dory-Plus-Bonus-Content/dp/B01H2HGM0U/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219571&sr=1-1&keywords=Finding+Dory,,,,,"Jun 17, 2016",
Zootopia,2016,original screenplay,98,78,88.0,93,88,5,90.5,-3,,Adventure,75063401,75.06,341268248,341.27,682.49,682486254,1023754502,1023.75,66.67%,150,683%,50.04%,,,https://www.amazon.com/Zootopia-Theatrical-Ginnifer-Goodwin/dp/B01CIV3XCU/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219530&sr=1-1&keywords=Zootopia,,,,,"Mar 4, 2016",
The Jungle Book,2016,adaptation,94,77,85.5,87,75,12,81,5,,Adventure,103261464,103.26,364001123,364.00,602.52,602521065,966522188,966.52,62.34%,175,552%,59.01%,,,https://www.amazon.com/Jungle-Book-Theatrical-Bill-Murray/dp/B01E60ZAA4/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219544&sr=1-1&keywords=The+Jungle+Book,,,,,"Apr 15, 2016",
Batman v Superman: Dawn of Justice,2016,sequel,27,44,35.5,64,70,-6,67,-32,,Action,166007347,166.01,330360194,330.36,542.90,542900000,873260194,873.26,62.17%,250,349%,66.40%,,,https://www.amazon.com/Batman-v-Superman-Dawn-Justice/dp/B01DAWJ7C6/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219522&sr=1-1&keywords=Batman+v+Superman3A+Dawn+of+Justice,,,,,"Mar 25, 2016",
The Secret Life of Pets,2016,original screenplay,74,61,67.5,64,60,4,62,6,,Adventure,104352905,104.35,367226855,367.23,505.53,505525621,872752476,872.75,57.92%,75,1164%,139.14%,,,https://www.amazon.com/Secret-Life-Pets-Louis-C-K/dp/B01HOSMNYQ/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219554&sr=1-1&keywords=The+Secret+Life+of+Pets,,,,,"Jul 8, 2016",
Rogue One,2016,sequel,84,65,74.5,90,78,12,84,-10,,Adventure,155081681,155.08,451407837,451,377.70,377700000,829107837,829.11,45.55%,200,415%,77.54%,,,https://www.amazon.com/Rogue-One-Story-Bonus-Content/dp/B01N4BO8N6/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1483640828&sr=1-2&keywords=Rogue+One,,,,,"Dec 16, 2016",
Deadpool,2016,adaptation,84,65,74.5,90,81,9,85.5,-11,,Action,132434639,132.43,363070709,363.07,419.54,419541446,782612155,782.61,53.61%,58,1349%,228.34%,,,https://www.amazon.com/Deadpool-Ryan-Reynolds/dp/B01BHDEDW4/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219537&sr=1-1&keywords=Deadpool,,,,,"Feb 12, 2016",
Suicide Squad,2016,adaptation,26,40,33.0,65,64,1,64.5,-32,,Action,133682248,133.68,325100054,325.10,420.50,420500000,745600054,745.60,56.40%,175,426%,76.39%,,,https://www.amazon.com/Suicide-Squad-Will-Smith/dp/B01J7YLPGM/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219513&sr=1-1&keywords=Suicide+Squad,,,,,"Aug 5, 2016",
Fantastic Beasts & Where to Find Them,2016,adaptation,74,66,70.0,82,73,9,77.5,-8,,Fantasy,74403387,74.40,208663096,209,508.41,508409307,717072403,717.07,70.90%,180,398%,41.34%,,,https://www.amazon.com/Fantastic-Beasts-Where-Find-Them/dp/B01N0AEYU6/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1483640814&sr=1-1&keywords=Fantastic+Beasts+26+Where+to+Find+Them,,,,,"Nov 18, 2016",
X-Men: Apocalypse,2016,sequel,48,52,50.0,68,68,0,68,-18,,Action,65769562,65.77,155442489,155.44,388.49,388491616,543934105,543.93,71.42%,178,306%,36.95%,,,https://www.amazon.com/X-Men-Apocalypse-James-McAvoy/dp/B01FV2BH62/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219455&sr=1-1&keywords=X-Men3A+Apocalypse,,,,,"May 27, 2016",
The Revenant,2016,original screenplay,82,76,79.0,84,80,4,82,-3,,Adventure,"39,826,840",40,183637894,183.64,349.31,349312609,532950503,532.95,65.54%,135,395%,29.50%,Oscar Winner,"Actor in a Leading Role, Cinematography, Directing",https://www.amazon.com/Revenant-Leonardo-Dicaprio/dp/B01AB7GOD8/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219490&sr=1-1&keywords=The+Revenant,,,,,"Jan 8, 2016",
Kung Fu Panda 3,2016,sequel,87,66,76.5,79,75,4,77,-1,,Adventure,41282042,41.28,143528619,143.53,376.35,376352736,519881355,519.88,72.39%,140,371%,29.49%,,,https://www.amazon.com/Kung-Fu-Panda-Jack-Black/dp/B01B5I1A5Y/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219446&sr=1-1&keywords=Kung+Fu+Panda+3,,,,,"Jan 29, 2016",
Doctor Strange,2016,adaptation,91,72,81.5,90,84,6,87,-6,,Adventure,85058311,85.06,155590962,155.59,341.08,341075890,496666852,496.67,68.67%,165,301%,51.55%,,,https://www.amazon.com/Doctor-Strange-Plus-Bonus-Features/dp/B01M9IELLY/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219463&sr=1-1&keywords=Doctor+Strange,,,,,"Nov 4, 2016",
Warcraft,2016,adaptation,28,32,30.0,73,83,-10,78,-48,,Action,24166110,24.17,47225655,47.23,386.31,386311893,433537548,433.54,89.11%,160,271%,15.10%,,,https://www.amazon.com/Warcraft-Travis-Fimmel/dp/B01GPLDCPW/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219007&sr=1-1&keywords=Warcraft,,,,,"Jun 10, 2016",
Jason Bourne,2016,sequel,56,58,57.0,59,65,-6,62,-5,,Action,59215365,59.22,162192920,162.19,253.05,253050504,415243424,415.24,60.94%,120,346%,49.35%,,,https://www.amazon.com/Jason-Bourne-Matt-Damon/dp/B01J2KIHOO/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219479&sr=1-1&keywords=Jason+Bourne,,,,,"Jul 29, 2016",
Ice Age: Collision Course,2016,sequel,13,34,23.5,40,44,-4,42,-19,,Adventure,21373064,21.37,64063008,64.06,343.38,343383010,407446018,407.45,84.28%,105,388%,20.36%,,,https://www.amazon.com/Ice-Age-Collision-Ray-Romano/dp/B01IS5QPXE/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219161&sr=1-1&keywords=Ice+Age3A+Collision+Course,,,,,"Jul 22, 2016",
Moana,2016,original screenplay,95,81,88.0,91,77,14,84,4,,Animation,56631401,56.63,216354281,216,189.10,189100000,405454281,405.45,46.64%,150,270%,37.75%,,,https://www.amazon.com/Moana-Bonus-Content-Aulii-Cravalho/dp/B01MRNUJUO/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1483640905&sr=1-2&keywords=Moana,,,,,"Nov 23, 2016",
Independence Day: Resurgence,2016,sequel,31,32,31.5,32,46,-14,39,-8,,Action,41039944,41.04,103144286,103.14,286.52,286523020,389667306,389.67,73.53%,165,236%,24.87%,,,https://www.amazon.com/Independence-Day-Resurgence-Liam-Hemsworth/dp/B01HDR3658/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1481219378&sr=1-2&keywords=Independence+Day3A+Resurgence,,,,,"Jun 24, 2016",
The Legend of Tarzan,2016,adaptation,35,44,39.5,62,62,0,62,-23,,Adventure,38527856,38.53,126643061,126.64,230.10,230100000,356743061,356.74,64.50%,180,198%,21.40%,,,https://www.amazon.com/Legend-Tarzan-Alexander-SkarsgC3A5rd/dp/B01HPA2ZKA/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219416&sr=1-1&keywords=The+Legend+of+Tarzan,,,,,"Jul 1, 2016",
The Angry Birds Movie,2016,adaptation,43,43,43.0,48,64,-16,56,-13,,Adventure,38155177,38.16,107509366,107.51,242.21,242209939,349719305,349.72,69.26%,73,479%,52.27%,,,https://www.amazon.com/Angry-Birds-Movie-Theatrical/dp/B01FFU3U5G/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219392&sr=1-1&keywords=The+Angry+Birds+Movie,,,,,"May 20, 2016",
Star Trek Beyond,2016,sequel,84,68,76.0,81,68,13,74.5,2,,Adventure,59253211,59.25,158848340,158.85,184.05,184049672,342898012,342.90,53.67%,185,185%,32.03%,,,https://www.amazon.com/Star-Trek-Beyond-John-Cho/dp/B01IG0GVUI/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219470&sr=1-1&keywords=Star+Trek+Beyond,,,,,"Jul 22, 2016",
Now You See Me 2,2016,sequel,34,46,40.0,55,64,-9,59.5,-20,,thriller,22383146,22.38,65075540,65.08,269.82,269819311,334894851,334.89,80.57%,90,372%,24.87%,,,https://www.amazon.com/Now-You-See-Me-2/dp/B01GPH7UFO/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219173&sr=1-1&keywords=Now+You+See+Me+2,,,,,"Jun 10, 2016",
The Conjuring 2: The Enfield Poltergeist,2016,sequel,80,65,72.5,82,77,5,79.5,-7,,Horror,40406314,40.41,102470008,102.47,217.70,217700000,320170008,320.17,68.00%,40,800%,101.02%,,,https://www.amazon.com/Conjuring-2-Vera-Farmiga/dp/B01GSUVRHA/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219362&sr=1-1&keywords=The+Conjuring+2,,,,,"Jun 10, 2016",
Alice Through the Looking Glass,2016,adaptation,30,34,32.0,51,60,-9,55.5,-24,,Adventure,26858726,26.86,77042381,77.04,222.34,222335940,299378321,299.38,74.27%,170,176%,15.80%,,,https://www.amazon.com/Alice-Through-Looking-Glass-Theatrical/dp/B01G2LIR6Y/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219246&sr=1-1&keywords=Alice+Through+the+Looking+Glass,,,,,"May 27, 2016",
Sing,2016,original screenplay,69,59,64.0,75,52,23,63.5,1,,Animation,35258145,35.26,187037310,187,103.71,103705860,290743170,290.74,35.67%,75,388%,47.01%,,,https://www.amazon.com/Sing-Matthew-McConaughey/dp/B01NCIFSMT/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1483641241&sr=1-1&keywords=Sing,,,,,"Dec 21, 2016",
Miss Peregrine’s Home for Peculiar Children,2016,adaptation,63,57,60.0,64,69,-5,66.5,-7,,Adventure,28871140,28.87,85218780,85.22,172.65,172654320,257873100,257.87,66.95%,110,234%,26.25%,,,https://www.amazon.com/Miss-Peregrines-Home-Peculiar-Children/dp/B01M0TWU6I/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219284&sr=1-1&keywords=Miss+PeregrineE28099s+Home+for+Peculiar+Children,,,,,"Sep 30, 2016",
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,sequel,38,40,39.0,49,57,-8,53,-14,,Adventure,35316382,35.32,82051601,82.05,163.57,163572247,245623848,245.62,66.59%,135,182%,26.16%,,,https://www.amazon.com/Teenage-Mutant-Ninja-Turtles-Shadows/dp/B01G7UJIVI/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219275&sr=1-1&keywords=Teenage+Mutant+Ninja+Turtles3A+Out+of+the+Shadows,,,,,"Jun 3, 2016",
Ghostbusters,2016,adaptation,73,67,70.0,54,86,-32,70,0,,Comedy,46018755,46.02,128350574,128.35,100.80,100796935,229147509,229.15,43.99%,144,159%,31.96%,,,https://www.amazon.com/Ghostbusters-Melissa-McCarthy/dp/B01I03E1G2/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219437&sr=1-1&keywords=Ghostbusters,,,,,"Jul 15, 2016",
The Good Dinosaur,2016,original screenplay,77,66,71.5,66,70,-4,68,4,,Adventure,39155217,39.16,8320188,8.32,209.12,209120551,217440739,217.44,96.17%,200,109%,19.58%,,,https://www.amazon.com/Good-Dinosaur-Theatrical-Peter-Sohn/dp/B018YO6WAA/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218093&sr=1-1&keywords=The+Good+Dinosaur,,,,,"Nov 25, 2015",
Central Intelligence,2016,original screenplay,70,52,61.0,64,66,-2,65,-4,,Comedy,35535250,35.54,127440871,127.44,89.53,89531672,216972543,216.97,41.26%,50,434%,71.07%,,,https://www.amazon.com/Central-intelligence-Dwayne-Johnson/dp/B01H640LV0/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219429&sr=1-1&keywords=Central+Intelligence,,,,,"Jun 17, 2016",
Inferno,2016,adaptation,20,42,31.0,41,56,-15,48.5,-18,,thriller,14860425,14.86,31847432,31.85,178.58,178581184,210428616,210.43,84.87%,75,281%,19.81%,,,https://www.amazon.com/Inferno-Tom-Hanks/dp/B01MFBQ0A6/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218865&sr=1-1&keywords=Inferno,,,,,"Oct 28, 2016",
Me Before You,2016,adaptation,58,51,54.5,73,66,7,69.5,-15,,Drama,18723269,18.72,56245075,56.25,151.60,151600000,207845075,207.85,72.94%,20,1039%,93.62%,,,https://www.amazon.com/Me-Before-You-Emilia-Clarke/dp/B01GIIVF6K/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219091&sr=1-1&keywords=Me+Before+You,,,,,"Jun 3, 2016",
London Has Fallen,2016,sequel,26,28,27.0,53,51,2,52,-25,,Action,21635601,21.64,62524260,62.52,133.20,133201324,195725584,195.73,68.06%,60,326%,36.06%,,,https://www.amazon.com/London-Has-Fallen-Gerard-Butler/dp/B01CIPPE28/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219140&sr=1-1&keywords=London+Has+Fallen,,,,,"Mar 4, 2016",
Sully,2016,based on a true story,85,74,79.5,87,78,9,82.5,-3,,Drama,35028301,35.03,123852703,123.85,63.40,63400000,187252703,187.25,33.86%,60,312%,58.38%,,,https://www.amazon.com/Sully-Tom-Hanks/dp/B01LW32XQV/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219408&sr=1-1&keywords=Sully,,,,,"Sep 9, 2016",
Bridget Jones’s Baby,2016,sequel,77,59,68.0,75,72,3,73.5,-6,,"romance, comedy",8571785,8.57,24139805,24.14,160.02,160015368,184155173,184.16,86.89%,35,526%,24.49%,,,https://www.amazon.com/Bridget-Joness-Baby-RenC3A9e-Zellweger/dp/B01N0ICNMH/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218670&sr=1-1&keywords=Bridget+JonesE28099s+Baby,,,,,"Sep 16, 2016",
Bad Moms,2016,original screenplay,59,60,59.5,67,50,17,58.5,1,,Comedy,23817340,23.82,113257297,113.26,66.10,66100000,179357297,179.36,36.85%,20,897%,119.09%,,,https://www.amazon.com/Bad-Moms-Mila-Kunis/dp/B01J2KCK6A/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219400&sr=1-1&keywords=Bad+Moms,,,,,"Jul 29, 2016",
The Divergent Series: Allegiant,2016,adaptation,12,33,22.5,42,39,3,40.5,-18,,Action,29027348,29.03,66184051,66.18,113.06,113062817,179246868,179.25,63.08%,110,163%,26.39%,,,https://www.amazon.com/Divergent-Allegiant-Shailene-Woodley/dp/B01D0SVUFC/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219181&sr=1-1&keywords=The+Divergent+Series3A+Allegiant,,,,,"Mar 18, 2016",
The BFG,2016,adaptation,75,66,70.5,60,62,-2,61,10,,Adventure,18775350,18.78,55483770,55.48,122.44,122435394,177919164,177.92,68.82%,140,127%,13.41%,,,https://www.amazon.com/BFG-Theatrical-Version-Mark-Rylance/dp/B01HQUWXVU/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219084&sr=1-1&keywords=The+BFG,,,,,"Jul 1, 2016",
Storks,2016,original screenplay,63,56,59.5,68,61,7,64.5,-5,,Adventure,21311407,21.31,70775890,70.78,104.50,104500000,175275890,175.28,59.62%,70,250%,30.44%,,,https://www.amazon.com/Storks-Nicholas-Stoller/dp/B01M0W2TH5/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219212&sr=1-1&keywords=Storks,,,,,"Sep 23, 2016",
The Huntsman: Winter’s War,2016,sequel,17,35,26.0,47,51,-4,49,-23,,Action,19445035,19.45,48003015,48.00,116.60,116599148,164602163,164.60,70.84%,115,143%,16.91%,,,https://www.amazon.com/Huntsman-Winters-War-Chris-Hemsworth/dp/B01E7RPWKO/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219024&sr=1-1&keywords=The+Huntsman3A+WinterE28099s+War,,,,,"Apr 22, 2016",
The Girl on the Train,2016,adaptation,44,48,46.0,54,61,-7,57.5,-12,,thriller,24536265,24.54,73466229,73.47,89.79,89794593,163260822,163.26,55.00%,45,363%,54.53%,,,https://www.amazon.com/Girl-Train-Emily-Blunt/dp/B01M7V9R51/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219228&sr=1-1&keywords=The+Girl+on+the+Train,,,,,"Oct 7, 2016",
