Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genres,Opening Weekend ($),Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), % of Gross earned abroad,Budget ($million),Budget recovered,Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),"financial source, if not The numbers",Film list here: https://www.boxofficemojo.com/year/2020/?grossesOption=calendarGrosses
The Last Full Measure,2020,adaptation,60,51,56,96,68,28,82,-27,drama,,1058019,1.1,2949212,2.9,0.4,371899,3321111,3.3,12.0,20.0,16.61%,5.50%,,,https://www.amazon.co.uk/Last-Full-Measure-Sebastian-Stan/dp/B088FGB773/ref=sr_1_1?crid=2JX2T3OF2JF9Q&keywords=the+last+full+measure&qid=1695323516&s=instant-video&sprefix=the+last+full+mea%2Cinstant-video%2C197&sr=1-1,,Roadside Attractions,6.8,28,"Jan 24, 2020",,
The Last Shift,2020,original screenplay,64,58,61,37,47,-10,42,19,comedy,,246491,0.2,643658,0.6,0.0,660,644318,0.64,0.1,-,-,-,,,https://www.amazon.co.uk/Last-Shift-Richard-Jenkins/dp/B08NSLJNHQ/ref=sr_1_3?crid=3KSUHVPY8RYW6&keywords=the+last+shift&qid=1695323526&s=instant-video&sprefix=the+last+shift%2Cinstant-video%2C192&sr=1-3,,Sony Pictures,5.8,-21,"Aug 7, 2020",,
The Lodge,2020,original screenplay,75,64,70,51,62,-11,57,13,drama,,76251,0.1,2138907,2.1,1.0,951807,3090714,3.09,32.4,-,-,-,,,https://www.amazon.com/Lodge-Riley-Keough/dp/B0875F8R4L,,Neon,6,-9,"Feb 7, 2020",,
The New Mutants,2020,adaptation,36,43,40,56,43,13,50,-10,action,,7037017,7.0,23855569,23.9,20.8,20752678,44608247,44.6,46.6,67.0,66.58%,10.45%,,,https://www.amazon.co.uk/New-Mutants-Maisie-Williams/dp/B08HR2DH74/ref=sr_1_1?crid=1ML3233BDOSD8&keywords=the+new+mutants&qid=1695323701&s=instant-video&sprefix=the+new+mutants%2Cinstant-video%2C200&sr=1-1,,20th Century Studios,5.3,3,"Aug 28, 2020",,
The Personal History of David Copperfield,2020,original screenplay,92,77,85,54,49,5,52,33,drama,,475800,0.4,1876298,1.9,11.3,11331144,13207442,13.2,85.6,15.6,84.66%,2.56%,,,https://www.amazon.co.uk/Personal-History-David-Copperfield-UK/dp/B08437WT83/ref=sr_1_1?crid=22FLLGMMV9NAK&keywords=david+copperfield&qid=1695323711&s=instant-video&sprefix=david+copp%2Cinstant-video%2C195&sr=1-1,,20th Century Studios,6.4,-10,"Aug 28, 2020",,
The Photograph,2020,original screenplay,75,62,69,81,59,22,70,-2,drama,,12181865,12.1,20578185,20.5,0.1,126196,20704381,20.7,0.5,15.0,138.03%,80.67%,,,https://www.amazon.co.uk/Photograph-Issa-Rae/dp/B0859QG3MV/ref=sr_1_1?crid=3VK3VJU21FT78&keywords=the+photograph&qid=1695323727&s=instant-video&sprefix=the+ohoto%2Cinstant-video%2C187&sr=1-1,,Universal Pictures,6.1,20,"Feb 14, 2020",,
The Rental,2020,original screenplay,74,62,68,47,56,-9,52,17,thriller,,403852,0.4,1637548,1.6,2.3,2339286,3976834,3.97,57.9,3.5,113.62%,11.43%,,,https://www.amazon.co.uk/Rental-Alison-Brie/dp/B08SQPDCT8/ref=sr_1_1?crid=22XDNC2GJI3PR&keywords=the+rental&qid=1695323741&s=instant-video&sprefix=the+rental%2Cinstant-video%2C182&sr=1-1,,IFC Films,5.7,-10,"Jul 24, 2020",,
The Rhythm Section,2020,adaptation,28,45,37,44,41,3,43,-6,action,,2715384,2.7,5437971,5.4,0.5,545072,5983043,6,8.3,50.0,11.97%,5.40%,,,https://www.amazon.co.uk/Rhythm-Section-Sterling-K-Brown/dp/B0847S9GZS/ref=sr_1_1?crid=1O035XN3JF93X&keywords=the+rhythm+section&qid=1695323772&s=instant-video&sprefix=the+rhythm+section%2Cinstant-video%2C184&sr=1-1,,Paramount Pictures,5.4,-10,"Jan 31, 2020",,
The SpongeBob Movie: Sponge on the Run,2020,original screenplay,67,65,66,50,65,-15,58,9,comedy,,865824,0.9,4810790,4.8,-,-,-,-,-,60.0,-,1.50%,,,https://www.amazon.co.uk/Spongebob-Movie-Sponge-Run/dp/B09KS78VQ1/ref=sr_1_1?crid=2ZX1BGKSWBJIX&keywords=sponge+on+the+run&qid=1695323784&s=instant-video&sprefix=sponge+on%2Cinstant-video%2C185&sr=1-1,,Paramount Pictures,5.9,-9,"Aug 14, 2020",,
The Tax Collector,2020,original screenplay,18,22,20,72,54,18,63,-43,action,,309694,0.3,1044212,1.0,0.3,265759,1309971,1.3,23.1,30.0,4.37%,1.00%,,,https://www.amazon.co.uk/Tax-Collector-Shia-LaBeouf/dp/B08KYN78KQ/ref=sr_1_1?crid=35XUW92VSTSVF&keywords=the+tax+collector&qid=1695323810&s=instant-video&sprefix=the+tax+col%2Cinstant-video%2C217&sr=1-1,,RLJE Films,4.8,24,"Aug 7, 2020",,
The Turning,2020,adaptation,12,35,24,15,39,-24,27,-4,thriller,,6950045,7.0,15472775,15.5,3.0,2987964,18460739,18.5,16.2,12.0,153.84%,58.33%,,,https://www.amazon.co.uk/Turning-Mackenzie-Davis/dp/B084JDWJPL/ref=sr_1_1?crid=10548UUXJMGE5&keywords=the+turning&qid=1695323911&s=instant-video&sprefix=the+turni%2Cinstant-video%2C379&sr=1-1,,Universal Pictures,3.9,-24,"Jan 24, 2020",,
The War with Grandpa,2020,adaptation,28,34,31,85,53,32,69,-38,comedy,,3623880,3.6,21277892,21.3,25.5,25541177,46819069,46.8,54.5,38.0,123.21%,9.47%,,,https://www.amazon.co.uk/War-Grandpa-Robert-Niro/dp/B096Y7ZY8T/ref=sr_1_1?crid=3R7ID3V5GRJGJ&keywords=the+war+with+grandpa&qid=1695323921&s=instant-video&sprefix=the+war+with+granp%2Cinstant-video%2C181&sr=1-1,,101 Studios,5.6,29,"Oct 9, 2020",,
The Way Back,2020,original screenplay,84,66,75,84,67,17,76,-1,drama,,8170315,8.2,13590514,13.5,0.9,972895,14563409,14.6,6.2,23.0,63.32%,35.65%,,,https://www.amazon.com/gp/video/detail/amzn1.dv.gti.14b99189-5f35-90aa-d981-6423b500b6e9?ref_=imdbref_tt_wbr_pvt_aiv&tag=imdbtag_tt_wbr_pvt_aiv-20,,Warner Bros. Pictures,6.7,17,"Mar 6, 2020",,
The Wretched,2020,original screenplay,74,61,68,46,62,-16,54,14,horror,,65908,0.1,1814193,1.8,2.8,2778781,4594221,4.6,60.9,0.7,656.32%,14.29%,,,https://www.amazon.co.uk/Wretched-John-Paul-Howard/dp/B087ZFDBQN/ref=sr_1_1?crid=1EC9IWXLS7A8I&keywords=the+wretched&qid=1695323975&s=instant-video&sprefix=the+wretched%2Cinstant-video%2C222&sr=1-1,,IFC Midnight,5.8,-12,"May 1, 2020",,
True to the Game 2,2020,sequel,-,-,-,79,-,-,-,-,drama,,290000,0.3,1117808,1.1,-,-,-,-,-,-,-,-,,,https://www.amazon.com/gp/video/detail/amzn1.dv.gti.8ebb2974-ff81-d34f-539e-8c20fd8dc1d3?ref_=imdbref_tt_wbr_betplus&tag=imdbtag_tt_wbr_betplus-20,,Faith Media Distribution,4.3,36,"Nov 6, 2020",,
Underwater,2020,original screenplay,48,48,48,60,66,-6,63,-15,thriller,,7008297,7.0,17291078,17.3,22.0,21886417,39177495,39.2,56.1,65.0,60.27%,10.77%,,,https://www.amazon.co.uk/Underwater-Kristen-Stewart/dp/B0893MWFVR/ref=sr_1_1?crid=3PAQX0WJWX3CW&keywords=underwater&qid=1695324030&s=instant-video&sprefix=underwater%2Cinstant-video%2C226&sr=1-1,,20th Century Studios,5.9,1,"Jan 10, 2020",,
Unhinged,2020,original screenplay,48,40,44,77,53,24,65,-21,thriller,,601032,0.6,20831465,20.8,16.5,16507639,37339104,37.3,44.2,33.0,113.15%,1.82%,,,https://www.amazon.co.uk/Unhinged-Russell-Crowe/dp/B08L4F22Y4/ref=sr_1_1?crid=2AVPAGLA9NIEK&keywords=unhinged&qid=1695324041&s=instant-video&sprefix=unhinged%2Cinstant-video%2C176&sr=1-1,,Solstice Studios,6,17,"Aug 21, 2020",,
Wonder Woman 1984,2020,sequel,58,60,59,73,37,36,55,4,action,,16701957,16.7,46801036,46.8,119.6,119559196,166360232,166.4,71.9,200.0,83.18%,8.35%,,,https://www.amazon.co.uk/Wonder-Woman-1984-Gal-Gadot/dp/B08SHG5YHS/ref=sr_1_1?crid=226KAM9G1007F&keywords=wonder+woman+1984&qid=1695324051&s=instant-video&sprefix=wonderwoman+%2Cinstant-video%2C190&sr=1-1,,Warner Bros. Pictures,5.4,19,"Dec 25, 2020",,
Words on Bathroom Walls,2020,original screenplay,89,61,75,94,69,25,82,-7,romance,,432968,0.4,2542518,2.5,0.6,641662,3184180,3.2,18.8,9.3,34.24%,4.30%,,,https://www.amazon.co.uk/Words-Bathroom-Walls-AnnaSophia-Robb/dp/B08NTQCL1G/ref=sr_1_1?crid=EKW3V7KN0IE2&keywords=words+on+bathroom+walls&qid=1695324062&s=instant-video&sprefix=words+on+bath%2Cinstant-video%2C184&sr=1-1,,LD Entertainment,7.2,22,"Aug 21, 2020",,
