Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genre,Opening Weekend,Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),"financial source, if not The numbers"
It Follows,2015,original screenplay,96,83,90,65,76,-11,71,19,,horror,3811052,3.81,14674076,14.67,1.6,1600000,16274076,16,9.83%,2,813.70%,190.55%,,,http://www.amazon.com/gp/product/B011KKEH70/?tag=titb-20,1,,,,"Mar 13, 2015",
The Gallows,2015,original screenplay,16,30,23,25,69,-44,47,-24,,horror,9808463,9.81,22764410,22.76,15.40,15400000,38164410,38,40.35%,0.1,38164.41%,9808.46%,,,http://www.amazon.com/gp/product/B016KAAFEO/?tag=titb-20,1,,,,"July 10, 2015",
The Visit,2015,original screenplay,63,55,59,57,65,-8,61,-2,,horror,25427560,25.43,64704895,64.70,26.23,26232544,90937439,91,28.85%,5,1818.75%,508.55%,,,http://www.amazon.com/gp/product/B0199693VM/?tag=titb-20,1,,,,"September 11, 2015",
Crimson Peak,2015,original screenplay,69,66,68,62,73,-11,68,0,,horror,13143310,13.14,27961325,27.96,34.38,34377759,62339084,62,55.15%,55,113.34%,23.90%,,,http://www.amazon.com/gp/product/B016Q1LVIG/?tag=titb-20,1,,,,"October 16, 2015",
The Lazarus Effect,2015,original screenplay,14,31,23,23,49,-26,36,-14,,horror,10203437,10.20,25801047,25.80,38.31,38309681,64110728,64,59.76%,3.3,1942.75%,309.20%,,,http://www.amazon.com/gp/product/B00ZRHRXXS/?tag=titb-20,1,,,,"February 27, 2015",
Poltergeist,2015,remake / reboot,31,47,39,23,36,-13,30,10,,horror,22260386,22.26,47425125,47.43,48.01,48012869,95437994,95,50.31%,35,272.68%,63.60%,,,http://www.amazon.com/gp/product/B011AK040Y/?tag=titb-20,1,,,,"May 22, 2015",
Sinister 2,2015,sequel,14,32,23,34,57,-23,46,-23,,horror,10542116,10.54,27740955,27.74,50,50000000,77740955,78,64.32%,10,777.41%,105.42%,,,http://www.amazon.com/gp/product/B019J76QLQ/?tag=titb-20,1,,,,"August 21, 2015",
Paranormal Activity: The Ghost Dimension,2015,sequel,11,30,21,33,37,-4,35,-15,,horror,8070493,8.07,16281378,16.28,50.80,50800000,67081378,67,75.73%,10,670.81%,80.70%,,,http://www.amazon.com/gp/product/B018SSYB96/?tag=titb-20,1,,,,"October 23, 2015",
Insidious: Chapter 3,2015,sequel,60,52,56,54,68,-14,61,-5,,horror,22692741,22.69,52218558,52.22,57.30,57300000,109518558,110,52.32%,10,1095.19%,226.93%,,,http://www.amazon.com/gp/product/B016887PIW/?tag=titb-20,1,,,,"June 5, 2015",
Goosebumps,2015,adaptation,77,60,69,66,70,-4,68,1,,"horror, comedy",23618556,23.62,57436461,57.44,18.60,18600000,76036461,76,24.46%,58,131.10%,40.72%,,,http://www.amazon.com/gp/product/B016Q1LRPI/?tag=titb-20,1,,,,"October 16, 2015",
Krampus,2015,adaptation,65,49,57,60,74,-14,67,-10,,"horror, comedy",16293325,16.29,42725475,42.73,19.02,19020015,61745490,62,30.80%,15,411.64%,108.62%,,,http://www.amazon.com/gp/product/B016568H4S/?tag=titb-20,1,,,,"December 4, 2015",
The Longest Ride,2015,adaptation,30,33,32,73,48,25,61,-29,,romance,13019686,13.02,37446117,37.45,25.50,25498698,62944815,63,40.51%,34,185.13%,38.29%,,,http://www.amazon.com/gp/product/B00VWQ2P8G/?tag=titb-20,1,,,,"April 10, 2015",
Fifty Shades of Grey,2015,adaptation,24,46,35,42,31,11,37,-2,,romance,85171450,85.17,166167230,166.17,403.48,403484237,569651467,570,70.83%,40,1424.13%,212.93%,,,http://www.amazon.com/gp/product/B00VGRCBOY/?tag=titb-20,1,,,,"February 13, 2015",
Big Stone Gap,2015,adaptation,35,39,37,75,50,25,63,-26,,"romance, comedy",362422,0,1009301,1,0,0,1009301,1,0.00%,3.5,28.84%,10.35%,,,http://www.amazon.com/gp/product/B019PFW1OI/?tag=titb-20,1,,,,"October 9, 2015",
Tomorrowland: A World Beyond,2015,original screenplay,50,60,55,52,64,-12,58,-3,,sci-fi,33028165,33.03,93436322,93.44,115.20,115200000,208636322,209,55.22%,190,109.81%,17.38%,,,http://www.amazon.com/gp/product/B015D4GZCE/?tag=titb-20,1,,,,"May 22, 2015",
Jupiter Ascending,2015,original screenplay,26,40,33,40,45,-5,43,-10,,sci-fi,18372372,18.37,47387723,47.39,136.50,136500000,183887723,184,74.23%,176,104.48%,10.44%,,,http://www.amazon.com/gp/product/B00T9DLXYQ/?tag=titb-20,1,,,,"February 6, 2015",
The Martian,2015,adaptation,93,80,87,93,81,12,87,-1,,sci-fi,54308575,54.31,196841665,196.84,262.02,262015153,458856818,459,57.10%,108,424.87%,50.29%,,,http://www.amazon.com/gp/product/B018HIZ65U/?tag=titb-20,1,,,,"October 2, 2015",
Chappie,2015,adaptation,31,41,36,57,73,-16,65,-29,,"sci-fi, action",13346782,13.35,31569268,31.57,70.50,70500000,102069268,102,69.07%,49,208.30%,27.24%,,,http://www.amazon.com/gp/product/B00ZRCSJ5E/?tag=titb-20,1,,,,"March 6, 2015",
Mad Max: Fury Road,2015,sequel,97,89,93,87,87,0,87,6,,"Sci-Fi, Action",45428128,45.43,153636354,153.64,221.10,221100000,374736354,375,59.00%,150,249.82%,30.29%,Oscar Winner,"Costume Design, Film Editing, Make Up and Hair Styling, Production Design, Sound Editing, Sound Mixing",http://www.amazon.com/gp/product/B014QZ9D84/?tag=titb-20,1,,,,"May 15, 2015",
Star Wars: Force Awakens,2015,sequel,94,81,88,91,70,21,81,7,,"sci-fi, fantasy",247966675,247.97,936662225,936.66,"1,131.56",1131561399,2068223624,2068,54.71%,200,1034.11%,123.98%,,,http://www.amazon.com/gp/product/B019EG160I/?tag=titb-20,1,,,,"December 18, 2015",
Jurassic World,2015,sequel,71,59,65,80,69,11,75,-10,,"sci-fi, horror",208806270,208.81,652050585,652.05,"1,014.00",1014000000,1666050585,1666,60.86%,150,1110.70%,139.20%,,,http://www.amazon.com/gp/product/B016VLEH0A/?tag=titb-20,1,,,,"June 12, 2015",
Self/less,2015,original screenplay,21,34,28,49,84,-35,67,-39,,"sci-fi, thriller",5403460,5,12279691,12,0,21434136,12279691,12,174.55%,26,47.23%,20.78%,,,http://www.amazon.com/gp/product/B017QHDEW0/?tag=titb-20,1,,,,"July 10, 2015",
Ex Machina,2015,original screenplay,92,78,85,85,80,5,83,3,,"sci-fi, thriller",5349500,5.35,25442958,25.44,11.43,11426456,36869414,37,30.99%,15,245.80%,35.66%,Oscar Winner,Visual Effects,http://www.amazon.com/gp/product/B00VWQ3LQG/?tag=titb-20,1,,,,"April 10, 2015",
McFarland,2015,based on a true story,79,60,70,89,73,16,81,-12,,"sports, drama",11020798,11.02,44482410,44.48,1.2,1200000,45682410,46,2.63%,17,268.72%,64.83%,,,http://www.amazon.com/gp/product/B00YCVD78A/?tag=titb-20,1,,,,"February 20, 2015",
The Perfect Guy,2015,original screenplay,19,36,28,54,29,25,42,-14,,thriller,25888154,25.89,56667921,56.67,2.31,2308735,58976656,59,3.91%,12,491.47%,215.73%,,,http://www.amazon.com/gp/product/B0159COAXQ/?tag=titb-20,1,,,,"September 11, 2015",
The Gunman,2015,adaptation,16,39,28,34,45,-11,40,-12,,thriller,5028702,5.03,10664749,10.66,5.9,5900000,16564749,17,35.62%,40,41.41%,12.57%,,,http://www.amazon.com/gp/product/B00ZPWJU7C/?tag=titb-20,1,,,,"March 20, 2015",
Secret in Their Eyes,2015,adaptation,41,45,43,41,43,-2,42,1,,thriller,6652996,6.65,20047288,20.05,9.3,9300000,29347288,29,31.69%,19.5,150.50%,34.12%,,,http://www.amazon.com/gp/product/B01BIKUOSI/?tag=titb-20,1,,,,"November 20, 2015",
Blackhat,2015,original screenplay,34,51,43,25,53,-28,39,4,,thriller,3901815,3.90,7889395,7.89,9.86,9863545,17752940,18,55.56%,70,25.36%,5.57%,,,http://www.amazon.com/gp/product/B00VIF5AZ6/?tag=titb-20,1,,,,"January 16, 2015",
The Boy Next Door,2015,original screenplay,10,30,20,34,54,-20,44,-24,,thriller,14910105,14.91,35423380,35.42,14.74,14739723,50163103,50,29.38%,4,1254.08%,372.75%,,,http://www.amazon.com/gp/product/B00USRETPM/?tag=titb-20,1,,,,"January 23, 2015",
The Gift,2015,original screenplay,94,77,86,78,84,-6,81,5,,thriller,11854273,11.85,43787265,43.79,15.19,15191388,58978653,59,25.76%,5,1179.57%,237.09%,,,http://www.amazon.com/gp/product/B0178D8ZRG/?tag=titb-20,1,,,,"August 7, 2015",
Everest,2015,based on a true story,72,64,68,73,72,1,73,-5,,thriller,13242895,13.24,42390910,42.39,134.50,134495740,176886650,177,76.03%,55,321.61%,24.08%,,,http://www.amazon.com/gp/product/B018JQRT6Y/?tag=titb-20,1,,,,"September 18, 2015",
Bridge of Spies,2015,based on a true story,92,81,87,98,80,18,89,-3,,"thriller, history",15371203,15.37,72232000,72.23,92.10,92100000,164332000,164,56.05%,40,410.83%,38.43%,Oscar Winner,Actor in a Supporting Role,http://www.amazon.com/gp/product/B01B5H1SIY/?tag=titb-20,1,,,,"October 16, 2015",
Spotlight ,2015,based on a true story,96,93,94.5,93,81,12,87,8,,drama,295009,0.30,17946804,17.95,43.29,43290697,61237501,61.24,70.69%,20,306%,1.48%,Oscar Winner,"Best Picture, Writing (original screenplay)",https://www.amazon.com/Spotlight-Mark-Ruffalo/dp/B01AZ86I2U/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218519&sr=1-1&keywords=Spotlight,1,,,,"Nov 6, 2015",
Carol,2015,adaptation,94,95,94.5,73,79,-6,76,19,,drama,253510,0.25,7729016,7.73,27.56,27560644,35289660,35.29,78.10%,12,294%,2.11%,,,https://www.amazon.com/Carol-Cate-Blanchett/dp/B01A9RC4RK/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218077&sr=1-1&keywords=Carol,1,,,,"Nov 20, 2015",
The Hunger Games: Mockingjay - Part 2,2015,sequel,70,65,67.5,66,67,-1,66.5,1,,thriller,102665981,102.67,7538507,7.54,371.70,371704359,379242866,379.24,98.01%,160,237%,64.17%,,,https://www.amazon.com/Hunger-Games-Mockingjay-Part/dp/B0186DGA92/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218061&sr=1-1&keywords=The+Hunger+Games3A+Mockingjay+-+Part+2,1,,,,"Nov 20, 2015",
The Hateful Eight,2015,original screenplay,77,69,73,77,74,3,76,-3,,western,4610676,4.61,52316982,52.32,51.01,51007561,103324543,103,49.37%,44,234.83%,10.48%,,,http://www.amazon.com/gp/product/B01A1FDRP8/?tag=titb-20,1,,,,"December 25, 2015",
