Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genres,Opening Weekend ($),Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), % of Gross earned abroad,Budget ($million),Budget recovered,Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),"financial source, if not The numbers",Film list here: https://www.boxofficemojo.com/year/2021/
Chaos Walking,2021,,21,38,30,71,52,19,62,-32,action,"adventure, sci-fi",3775350,3.8,13287908,13.3,,,27072169,27.1,,100.0,27.07%,3.78%,,,https://www.amazon.co.uk/Chaos-Walking-Tom-Holland/dp/B08ZTX38F6/ref=sr_1_1?keywords=chaos+walking+2021&qid=1694135554&s=instant-video&sprefix=chaos+walk2Cinstant-video2C181&sr=1-1,,Lionsgate,5.7,14,"March 5, 2021",,
Clifford the Big Red Dog,2021,,58,55,57,94,60,34,77,-21,adventure,"drama, fantasy, comedy",16627491,16.6,48947356,48.9,,,78418101,78.4,,64.0,122.53%,25.98%,,,https://www.amazon.co.uk/Clifford-Big-Red-Darby-Camp/dp/B09PMC8YX7/ref=sr_1_1?crid=337W6Y9FT3AAD&keywords=clifford+the+big+red+dog+movie&qid=1693948360&s=instant-video&sprefix=clifford2Cinstant-video2C236&sr=1-1,,Paramount Pictures,5.9,35,"November 10, 2021",,
Copshop,2021,,82,61,72,74,61,13,68,4,action,"crime, thriller",2315638,2.3,5213243,5.2,,,6409313,6.4,,6.0,106.82%,38.59%,,,https://www.amazon.co.uk/COPSHOP-Gerard-Butler/dp/B09HP9GVNQ/ref=sr_1_1?crid=3I2CNUL34HXQE&keywords=copshop&qid=1694135829&s=instant-video&sprefix=copshop2Cinstant-video2C173&sr=1-1,,Open Road Films (II),6.2,12,"September 17, 2021",,
Cruella,2021,,75,59,67,97,72,25,85,-18,comedy,"family, thriller, romance",21496997,21.5,86103234,86.1,,,225816529,225.8,,200.0,112.91%,10.75%,,,https://www.amazon.co.uk/Cruella-4K-UHD-Emma-Stone/dp/B0977SR5L5/ref=sr_1_1?crid=3V2KGGR9CTGVA&keywords=cruella&qid=1693592183&s=instant-video&sprefix=cruella2Cinstant-video2C188&sr=1-1,,Walt Disney Studios Motion Pictures,7.3,24,"May 28, 2021",,
Cry Macho,2021,,57,58,58,64,50,14,57,1,drama,western,4426161,4.4,10310734,10.3,,,14704912,14.7,,33.0,44.56%,13.41%,,,https://www.amazon.co.uk/Cry-Macho-Clint-Eastwood/dp/B09NCJJD52/ref=sr_1_1?crid=202IM8N7RW9V1&keywords=cry+macho&qid=1694135593&s=instant-video&sprefix=cry+mach2Cinstant-video2C274&sr=1-1,,Warner Bros.,5.7,7,"September 17, 2021",,
CS Lewis: The Most Reluctant Convert,2021,,-,-,-,89,-,-,89,-,drama,-,-,-,3032744,3.0,,,1248681,1.2,,-,-,-,,,https://www.amazon.co.uk/CS-Lewis-Most-Reluctant-Convert/dp/B09WZNJ28D/ref=sr_1_1?keywords=the+most+reluctant+convert&qid=1694135976&s=instant-video&sprefix=most+rel2Cinstant-video2C215&sr=1-1,,Trafalgar Releasing,8.6,3,"November 3, 2021",,
Dear Evan Hansen,2021,,29,39,34,88,54,34,71,-37,drama,"music, musical",7443830,7.4,15002646,15.0,,,17509859,17.5,,27.5,63.67%,27.07%,,,https://www.amazon.co.uk/Dear-Evan-Hansen-Ben-Platt/dp/B09M3YGDK2/ref=sr_1_1?crid=6TSW0MGEG5J3&keywords=dear+evan+hansen&qid=1694135267&s=instant-video&sprefix=dear+evan+hanse2Cinstant-video2C230&sr=1-1,,Universal Pictures,6.1,27,"September 24, 2021",,
Don't Breathe 2,2021,,44,46,45,85,64,21,75,-30,action,"drama, thriller, horror, crime",10622473,10.6,32712950,32.7,,,47201347,47.2,,15.0,314.68%,70.82%,,,https://www.amazon.co.uk/Dont-Breathe-2-Stephen-Lang/dp/B09C77CYSJ/ref=sr_1_1?crid=14KNPTPQPQ2I0&keywords=dont+breathe+2&qid=1694130812&s=instant-video&sprefix=dont+breathe+2Cinstant-video2C161&sr=1-1,,Screen Gems,6.0,25,"August 13, 2021",,
Dream Horse,2021,,88,68,78,97,65,32,81,-3,biography,"comedy, drama",794741,0.8,2913328,2.9,,,6530068,6.5,,20.0,32.65%,3.97%,,,https://www.amazon.co.uk/Dream-Horse-Toni-Collette/dp/B09BLMKJ8N/ref=sr_1_1?crid=3DFNVBBVLZZMU&keywords=dream+horse&qid=1694136002&s=instant-video&sprefix=dream+hor2Cinstant-video2C183&sr=1-1,,Bleecker Street Media,6.9,28,"May 21, 2021",,
Dune,2021,,83,74,79,90,79,11,85,-6,action,"adventure, sci-fi, drama",41011174,41.0,108327830,108.3,,,391774790,391.8,,165.0,237.44%,24.86%,,,https://www.amazon.co.uk/Dune-Timothée-Chalamet/dp/B09MR5WL83/ref=sr_1_1?crid=2UXNE97WSV3VP&keywords=dune&qid=1693591294&s=instant-video&sprefix=dun2Cinstant-video2C256&sr=1-1,,Warner Bros.,8.0,10,"October 22, 2021",,
Encanto,2021,,92,75,84,93,70,23,82,2,adventure,"drama, fantasy, comedy",27206494,27.2,96093622,96.1,,,230935502,230.9,,150.0,153.96%,18.14%,,,https://www.amazon.co.uk/Encanto-Stephanie-Beatriz/dp/B09NDYQ94Q/ref=sr_1_1?crid=3R4DJ7OH7MHWR&keywords=encanto&qid=1693591707&s=instant-video&sprefix=encanto2Cinstant-video2C186&sr=1-1,,Walt Disney Studios Motion Pictures,7.2,21,"November 24, 2021",,
Escape Room: Tournament of Champions,2021,,51,48,50,75,51,24,63,-14,action,"adventure, horror",8801391,8.8,25314753,25.3,,,53493064,53.5,,15.0,356.62%,58.68%,,,https://www.amazon.co.uk/Escape-Room-2-Tournament-Champions/dp/B09C2RQ5QS/ref=sr_1_1?crid=SK1C2BBY2Z3E&keywords=escape+room+tournament+of+champions&qid=1694135116&s=instant-video&sprefix=escape+room2Cinstant-video2C218&sr=1-1,,Sony Pictures Entertainment (SPE),5.7,18,"July 16, 2021",,
Eternals,2021,,47,52,50,77,62,15,70,-20,action,"adventure, sci-fi",71297219,71.3,164870234,164.9,,,401731759,401.7,,200.0,200.87%,35.65%,,,https://www.amazon.co.uk/Eternals-Gemma-Chan/dp/B09NZ8YNT8/ref=sr_1_1?crid=XS39F6QN55M9&keywords=eternals&qid=1693590364&s=instant-video&sprefix=eternals2Cinstant-video2C180&sr=1-1,,Walt Disney Studios Motion Pictures,6.3,14,"November 5, 2021",,
F9: The Fast Saga,2021,,59,58,59,82,48,34,65,-7,action,"adventure, thriller, crime",70043165,70.0,173005945,173.0,,,719360510,719.4,,200.0,359.68%,35.02%,,,https://www.amazon.co.uk/Fast-Furious-9-Vin-Diesel/dp/B09BLFMGDF/ref=sr_1_1?crid=B898GW4B4LA&keywords=f9+the+fast+saga&qid=1693589839&s=instant-video&sprefix=f92Cinstant-video2C136&sr=1-1,,Universal Pictures,5.2,30,"June 25, 2021",,
Finding You,2021,,53,41,47,91,74,17,83,-36,drama,romance,920476,0.9,2753985,2.8,,,3327266,3.3,,-,-,-,,,https://www.amazon.co.uk/Finding-You-Jerome-Ponce/dp/B07V6SCXXC/ref=sr_1_2?crid=25ZKMEE10NS50&keywords=finding+you&qid=1694136035&s=instant-video&sprefix=finding+you2Cinstant-video2C248&sr=1-2,,Roadside Attractions,6.4,27,"May 14, 2021",,
