Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genre,Opening Weekend,Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),"financial source, if not The numbers"
Earth to Echo,2014,original screenplay ,48,53,51,47,47,0,47,4,,"adventure, sci-fi, family",8364658,8.36,38934842,38.93,6.40,6401862,45336704,45,14.12%,13,348.74%,64.34%,,,http://www.amazon.com/gp/product/B00NMUU0SW/?tag=titb-20,1,,,,"Jul 2, 2014",
St. Vincent,2014,original screenplay ,77,64,71,80,76,4,78,-8,,"drama, comedy",109878,0.11,44137712,44.14,10.70,10699522,54837234,55,19.51%,13,421.82%,0.85%,,,http://www.amazon.com/gp/product/B00QUEE4GQ/?tag=titb-20,1,,,,"Oct 10, 2014",
The Drop,2014,adaptation,89,69,79,76,76,0,76,3,,"crime, drama",4104552,4.10,10724389,10.72,7.93,7933992,18658381,19,42.52%,12.6,148.08%,32.58%,,,http://www.amazon.com/gp/product/B00O4UQ038/?tag=titb-20,1,,,,"Sep 12, 2014",
About Last Night (2014),2014,adaptation,68,62,65,66,61,5,64,2,,"drama, comedy, romance",25649011,25.65,48637684,48.64,0.37,365000,49002684,49,0.74%,12.5,392.02%,205.19%,,,http://www.amazon.com/gp/product/B00IGE5IG8/?tag=titb-20,1,,,,"Feb 14, 2014",
Heaven is for Real,2014,adaptation,46,47,47,67,45,22,56,-10,,drama,22522221,22.52,91443253,91.44,9.89,9889709,101332962,101,9.76%,12,844.44%,187.69%,,,http://www.amazon.com/gp/product/B00M0I05QY/?tag=titb-20,1,,,,"Apr 16, 2014",
The Fault in our Stars,2014,adaptation,81,69,75,86,74,12,80,-5,,"drama, romance",48002523,48.00,124872350,124.87,182.37,182366663,307239013,307,59.36%,12,2560.33%,400.02%,,,http://www.amazon.com/gp/product/B00KPQ7MY6/?tag=titb-20,1,,,,"Jun 6, 2014",
If I Stay,2014,adaptation,36,46,41,62,56,6,59,-18,,"drama, romance, music",15679190,15.68,50474843,50.47,27.80,27800000,78274843,78,35.52%,11,711.59%,142.54%,,,http://www.amazon.com/gp/product/B00OI7J214/?tag=titb-20,1,,,,"Aug 22, 2014",
Chef,2014,original screenplay ,86,68,77,85,78,7,82,-5,,comedy,204961,0.20,31424003,31.42,14.54,14543932,45967935,46,31.64%,11,417.89%,1.86%,,,http://www.amazon.com/gp/product/B00O1SDDOW/?tag=titb-20,1,,,,"May 30, 2014",
Big Eyes,2014,based on a true story ,72,62,67,70,75,-5,73,-6,,drama,3001738,3.00,14482031,14.48,14.77,14771135,29253166,29,50.49%,10,292.53%,30.02%,,,http://www.amazon.com/gp/product/B00W3DOZVC/?tag=titb-20,1,,,,"Dec 25, 2014",
The Purge: Anarchy,2014,sequel,57,50,54,57,61,-4,59,-6,,"action, thriller, horror",29816675,29.82,71962800,71.96,38.64,38640199,110602999,111,34.94%,9,1228.92%,331.30%,,,http://www.amazon.com/gp/product/B00O8NST8U/?tag=titb-20,1,,,,"Jul 18, 2014",
Mr. Turner,2014,based on a true story,98,94,96,58,68,-10,63,33,,"drama, biography, history",109000,0.11,3958500,3.96,1.45,1447000,5405500,5,26.77%,8.5,63.59%,1.28%,,,http://www.amazon.com/gp/product/B00VY0DTIA/?tag=titb-20,1,,,,"Dec 19, 2014",
Nightcrawler,2014,original screenplay ,95,76,86,86,84,2,85,1,,"drama, thriller, crime",10441000,10.44,32381217,32.38,6.32,6316000,38697217,39,16.32%,8.5,455.26%,122.84%,,,http://www.amazon.com/gp/product/B00TF874XE/?tag=titb-20,1,,,,"Oct 31, 2014",
That Awkward Moment,2014,original screenplay ,23,36,30,47,53,-6,50,-21,,"comedy, romance",8742109,8.74,26068955,26.07,14.40,14400000,40468955,40,35.58%,8,505.86%,109.28%,,,http://www.amazon.com/gp/product/B00KAUCTLS/?tag=titb-20,1,,,,"Jan 31, 2014",
Annabelle,2014,sequel,29,37,33,38,53,-15,46,-13,,horror,37134255,37.13,84273813,84.27,171.00,171000000,255273813,255,66.99%,6.5,3927.29%,571.30%,,,http://www.amazon.com/gp/product/B018C4RSIM/?tag=titb-20,1,,,,"Oct 3, 2014",
Ouija,2014,original screenplay ,7,38,23,26,63,-37,45,-22,,"action, adventure, thriller, horror",19875995,19.88,50856010,50.86,51.67,51673769,102529779,103,50.40%,5,2050.60%,397.52%,,,http://www.amazon.com/gp/product/B00S0AYSX2/?tag=titb-20,1,,,,"Oct 24, 2014",
Paranormal Activity: The Marked Ones,2014,sequel,37,42,40,35,50,-15,43,-3,,"thriller, horror",18343611,18.34,32462372,32.46,58.44,58442482,90904854,91,64.29%,5,1818.10%,366.87%,,,http://www.amazon.com/gp/product/B00INS1U78/?tag=titb-20,1,,,,"Jan 3, 2014",
Tusk,2014,adaptation,39,55,47,38,60,-22,49,-2,,horror,846831,0.85,1826705,1.83,0.1,100000,1826705,2,5.47%,3,60.89%,28.23%,,,http://www.amazon.com/gp/product/B00N8MCC4Y/?tag=titb-20,1,,,,"Sep 19, 2014",
The Babadook,2014,original screenplay,98,86,92,74,79,-5,77,16,,horror,30007,0.03,950792,0.95,3.92,3917000,4867792,5,80.47%,2.5,194.71%,1.20%,,,http://www.amazon.com/gp/product/B00P596I8Y/?tag=titb-20,1,,,,"Nov 28, 2014",
God's Not Dead,2014,original screenplay ,16,16,16,79,35,44,57,-41,,"drama, fantasy, comedy, family",9217013,9.22,60755732,60.76,1.88,1875000,62630732,63,2.99%,2,3131.54%,460.85%,,,http://www.amazon.com/gp/product/B00LPRKH5U/?tag=titb-20,1,,,,"Mar 21, 2014",
Obvious Child,2014,original screenplay ,90,76,83,73,66,7,70,14,,"comedy, romance",77315,0.08,3123963,3.12,0.2,200000,3123963,3,6.40%,1,312.40%,7.73%,,,http://www.amazon.com/gp/product/B00KT1B7WK/?tag=titb-20,1,,,,"Jun 6, 2014",
