Date,Land Class,Land Category,Commodity,Volume
07/01/2004,Federal,Onshore,Oil Prod Vol (bbl),7854263
07/01/2004,Federal,Onshore,Coal Prod Vol (tons),38767113
08/01/2004,Native American,Onshore,Oil Prod Vol (bbl),972186
08/01/2004,Native American,Onshore,Gas Prod Vol (mcf),30054252
08/01/2004,Native American,Onshore,Coal Prod Vol (tons),2860888
08/01/2004,Federal,Onshore,Coal Prod Vol (tons),39475725
08/01/2004,Federal,Onshore,Oil Prod Vol (bbl),7871379
08/01/2004,Federal,Onshore,Gas Prod Vol (mcf),265827351
08/01/2004,Federal,Offshore,Oil Prod Vol (bbl),51092432
08/01/2004,Federal,Offshore,Gas Prod Vol (mcf),354075520
09/01/2004,Federal,Onshore,Coal Prod Vol (tons),39930106
09/01/2004,Federal,Onshore,Oil Prod Vol (bbl),7612549
09/01/2004,Federal,Onshore,Gas Prod Vol (mcf),262225309
09/01/2004,Native American,Onshore,Coal Prod Vol (tons),3098376
09/01/2004,Native American,Onshore,Oil Prod Vol (bbl),961630
09/01/2004,Federal,Offshore,Gas Prod Vol (mcf),280775633
09/01/2004,Federal,Offshore,Oil Prod Vol (bbl),37946564
09/01/2004,Native American,Onshore,Gas Prod Vol (mcf),29005672
10/01/2004,Native American,Onshore,Coal Prod Vol (tons),2834810
10/01/2004,Federal,Offshore,Gas Prod Vol (mcf),303926128
10/01/2004,Federal,Offshore,Oil Prod Vol (bbl),39371356
10/01/2004,Federal,Onshore,Gas Prod Vol (mcf),275271551
10/01/2004,Federal,Onshore,Oil Prod Vol (bbl),7907488
10/01/2004,Federal,Onshore,Coal Prod Vol (tons),39677776
10/01/2004,Native American,Onshore,Gas Prod Vol (mcf),30287260
10/01/2004,Native American,Onshore,Oil Prod Vol (bbl),988454
11/01/2004,Federal,Onshore,Gas Prod Vol (mcf),269584497
11/01/2004,Federal,Offshore,Oil Prod Vol (bbl),45004186
11/01/2004,Federal,Offshore,Gas Prod Vol (mcf),313078855
11/01/2004,Federal,Onshore,Oil Prod Vol (bbl),7761815
11/01/2004,Federal,Onshore,Coal Prod Vol (tons),38363559
11/01/2004,Native American,Onshore,Oil Prod Vol (bbl),977517
11/01/2004,Native American,Onshore,Coal Prod Vol (tons),2481476
11/01/2004,Native American,Onshore,Gas Prod Vol (mcf),29786898
12/01/2004,Federal,Onshore,Gas Prod Vol (mcf),278007497
12/01/2004,Federal,Onshore,Oil Prod Vol (bbl),7916693
12/01/2004,Federal,Onshore,Coal Prod Vol (tons),38672407
12/01/2004,Native American,Onshore,Coal Prod Vol (tons),3016398
12/01/2004,Native American,Onshore,Oil Prod Vol (bbl),1012648
12/01/2004,Native American,Onshore,Gas Prod Vol (mcf),30321126
12/01/2004,Federal,Offshore,Oil Prod Vol (bbl),48642157
12/01/2004,Federal,Offshore,Gas Prod Vol (mcf),309817111
01/01/2005,Federal,Offshore,Oil Prod Vol (bbl),48966412
01/01/2005,Federal,Onshore,Gas Prod Vol (mcf),278249838
01/01/2005,Federal,Onshore,Coal Prod Vol (tons),37597569
01/01/2005,Federal,Onshore,Oil Prod Vol (bbl),7832037
01/01/2005,Federal,Offshore,Gas Prod Vol (mcf),316500853
01/01/2005,Native American,Onshore,Coal Prod Vol (tons),2861003
01/01/2005,Native American,Onshore,Oil Prod Vol (bbl),974897
01/01/2005,Native American,Onshore,Gas Prod Vol (mcf),29805525
02/01/2005,Federal,Offshore,Gas Prod Vol (mcf),293032685
02/01/2005,Native American,Onshore,Coal Prod Vol (tons),2737327
02/01/2005,Native American,Onshore,Oil Prod Vol (bbl),901917
02/01/2005,Native American,Onshore,Gas Prod Vol (mcf),26765032
02/01/2005,Federal,Onshore,Coal Prod Vol (tons),37757279
02/01/2005,Federal,Onshore,Oil Prod Vol (bbl),7122697
02/01/2005,Federal,Onshore,Gas Prod Vol (mcf),249798477
02/01/2005,Federal,Offshore,Oil Prod Vol (bbl),44114577
03/01/2005,Federal,Offshore,Gas Prod Vol (mcf),330982305
03/01/2005,Federal,Onshore,Coal Prod Vol (tons),41971071
03/01/2005,Native American,Onshore,Coal Prod Vol (tons),2889277
03/01/2005,Native American,Onshore,Gas Prod Vol (mcf),29856325
03/01/2005,Native American,Onshore,Oil Prod Vol (bbl),988326
03/01/2005,Federal,Onshore,Oil Prod Vol (bbl),7839682
03/01/2005,Federal,Offshore,Oil Prod Vol (bbl),51150136
03/01/2005,Federal,Onshore,Gas Prod Vol (mcf),273355474
04/01/2005,Native American,Onshore,Coal Prod Vol (tons),2837532
04/01/2005,Native American,Onshore,Oil Prod Vol (bbl),936676
04/01/2005,Native American,Onshore,Gas Prod Vol (mcf),28562970
04/01/2005,Federal,Offshore,Gas Prod Vol (mcf),320039774
04/01/2005,Federal,Offshore,Oil Prod Vol (bbl),49717744
04/01/2005,Federal,Onshore,Gas Prod Vol (mcf),263719043
04/01/2005,Federal,Onshore,Oil Prod Vol (bbl),7631896
04/01/2005,Federal,Onshore,Coal Prod Vol (tons),37251010
05/01/2005,Federal,Onshore,Coal Prod Vol (tons),33464857
05/01/2005,Native American,Onshore,Gas Prod Vol (mcf),29913251
05/01/2005,Native American,Onshore,Oil Prod Vol (bbl),989150
05/01/2005,Native American,Onshore,Coal Prod Vol (tons),3099050
05/01/2005,Federal,Offshore,Gas Prod Vol (mcf),336761029
05/01/2005,Federal,Offshore,Oil Prod Vol (bbl),53029498
05/01/2005,Federal,Onshore,Gas Prod Vol (mcf),272784470
05/01/2005,Federal,Onshore,Oil Prod Vol (bbl),7917497
06/01/2005,Native American,Onshore,Oil Prod Vol (bbl),951434
06/01/2005,Federal,Onshore,Coal Prod Vol (tons),36088007
06/01/2005,Federal,Offshore,Gas Prod Vol (mcf),316761828
06/01/2005,Federal,Offshore,Oil Prod Vol (bbl),49299333
06/01/2005,Federal,Onshore,Gas Prod Vol (mcf),260907860
06/01/2005,Native American,Onshore,Gas Prod Vol (mcf),29040892
06/01/2005,Native American,Onshore,Coal Prod Vol (tons),2863100
06/01/2005,Federal,Onshore,Oil Prod Vol (bbl),7615472
07/01/2005,Native American,Onshore,Gas Prod Vol (mcf),29415028
07/01/2005,Federal,Onshore,Oil Prod Vol (bbl),7800954
07/01/2005,Federal,Onshore,Coal Prod Vol (tons),38308089
07/01/2005,Native American,Onshore,Coal Prod Vol (tons),2402519
07/01/2005,Federal,Offshore,Gas Prod Vol (mcf),301987672
07/01/2005,Federal,Offshore,Oil Prod Vol (bbl),47300818
07/01/2005,Federal,Onshore,Gas Prod Vol (mcf),270621787
07/01/2005,Native American,Onshore,Oil Prod Vol (bbl),983751
08/01/2005,Federal,Offshore,Gas Prod Vol (mcf),283967403
08/01/2005,Native American,Onshore,Oil Prod Vol (bbl),995571
08/01/2005,Federal,Onshore,Gas Prod Vol (mcf),276720425
08/01/2005,Native American,Onshore,Gas Prod Vol (mcf),29548632
08/01/2005,Native American,Onshore,Coal Prod Vol (tons),3052907
08/01/2005,Federal,Onshore,Coal Prod Vol (tons),37041753
08/01/2005,Federal,Onshore,Oil Prod Vol (bbl),7917261
08/01/2005,Federal,Offshore,Oil Prod Vol (bbl),44524355
09/01/2005,Federal,Offshore,Gas Prod Vol (mcf),146226107
09/01/2005,Federal,Onshore,Oil Prod Vol (bbl),7694668
09/01/2005,Federal,Onshore,Coal Prod Vol (tons),36881647
09/01/2005,Native American,Onshore,Coal Prod Vol (tons),3117008
09/01/2005,Native American,Onshore,Oil Prod Vol (bbl),952335
09/01/2005,Native American,Onshore,Gas Prod Vol (mcf),28504899
09/01/2005,Federal,Onshore,Gas Prod Vol (mcf),270954207
09/01/2005,Federal,Offshore,Oil Prod Vol (bbl),16481356
10/01/2005,Federal,Offshore,Oil Prod Vol (bbl),23993307
10/01/2005,Federal,Offshore,Gas Prod Vol (mcf),142680304
10/01/2005,Native American,Onshore,Gas Prod Vol (mcf),29725896
10/01/2005,Native American,Onshore,Oil Prod Vol (bbl),984328
10/01/2005,Native American,Onshore,Coal Prod Vol (tons),2825164
10/01/2005,Federal,Onshore,Oil Prod Vol (bbl),8104307
10/01/2005,Federal,Onshore,Coal Prod Vol (tons),34115112
10/01/2005,Federal,Onshore,Gas Prod Vol (mcf),283949770
11/01/2005,Federal,Onshore,Gas Prod Vol (mcf),281633319
11/01/2005,Federal,Onshore,Oil Prod Vol (bbl),7834407
11/01/2005,Federal,Onshore,Coal Prod Vol (tons),35522134
11/01/2005,Native American,Onshore,Gas Prod Vol (mcf),28252917
11/01/2005,Native American,Onshore,Oil Prod Vol (bbl),931083
11/01/2005,Native American,Onshore,Coal Prod Vol (tons),2577174
11/01/2005,Federal,Offshore,Oil Prod Vol (bbl),31051976
11/01/2005,Federal,Offshore,Gas Prod Vol (mcf),203466670
12/01/2005,Federal,Onshore,Gas Prod Vol (mcf),285542246
12/01/2005,Federal,Onshore,Coal Prod Vol (tons),34338379
12/01/2005,Native American,Onshore,Gas Prod Vol (mcf),28213133
12/01/2005,Native American,Onshore,Oil Prod Vol (bbl),947186
12/01/2005,Native American,Onshore,Coal Prod Vol (tons),2227485
12/01/2005,Federal,Offshore,Oil Prod Vol (bbl),37564682
12/01/2005,Federal,Offshore,Gas Prod Vol (mcf),240539867
12/01/2005,Federal,Onshore,Oil Prod Vol (bbl),8034696
01/01/2006,Native American,Onshore,Gas Prod Vol (mcf),28081359
01/01/2006,Native American,Onshore,Coal Prod Vol (tons),2637932
01/01/2006,Native American,Onshore,Oil Prod Vol (bbl),909510
01/01/2006,Federal,Offshore,Gas Prod Vol (mcf),251000886
01/01/2006,Federal,Offshore,Oil Prod Vol (bbl),39349064
01/01/2006,Federal,Onshore,Gas Prod Vol (mcf),292205102
01/01/2006,Federal,Onshore,Oil Prod Vol (bbl),8052929
01/01/2006,Federal,Onshore,Coal Prod Vol (tons),36482915
02/01/2006,Federal,Offshore,Oil Prod Vol (bbl),34948509
02/01/2006,Native American,Onshore,Oil Prod Vol (bbl),808468
02/01/2006,Federal,Onshore,Gas Prod Vol (mcf),263430211
02/01/2006,Federal,Offshore,Gas Prod Vol (mcf),221445869
02/01/2006,Federal,Onshore,Coal Prod Vol (tons),32452852
02/01/2006,Federal,Onshore,Oil Prod Vol (bbl),7359755
02/01/2006,Native American,Onshore,Gas Prod Vol (mcf),25753064
02/01/2006,Native American,Onshore,Coal Prod Vol (tons),2265006
03/01/2006,Native American,Onshore,Gas Prod Vol (mcf),28411942
03/01/2006,Native American,Onshore,Oil Prod Vol (bbl),926967
03/01/2006,Federal,Offshore,Oil Prod Vol (bbl),39897717
03/01/2006,Federal,Offshore,Gas Prod Vol (mcf),247569171
03/01/2006,Native American,Onshore,Coal Prod Vol (tons),2559734
03/01/2006,Federal,Onshore,Coal Prod Vol (tons),35033102
03/01/2006,Federal,Onshore,Oil Prod Vol (bbl),8221396
03/01/2006,Federal,Onshore,Gas Prod Vol (mcf),293707875
04/01/2006,Federal,Onshore,Oil Prod Vol (bbl),7882561
04/01/2006,Federal,Offshore,Oil Prod Vol (bbl),39533860
04/01/2006,Federal,Offshore,Gas Prod Vol (mcf),245949530
04/01/2006,Native American,Onshore,Coal Prod Vol (tons),2300077
04/01/2006,Native American,Onshore,Oil Prod Vol (bbl),921949
04/01/2006,Native American,Onshore,Gas Prod Vol (mcf),27300993
04/01/2006,Federal,Onshore,Coal Prod Vol (tons),36760830
04/01/2006,Federal,Onshore,Gas Prod Vol (mcf),279959744
05/01/2006,Federal,Onshore,Oil Prod Vol (bbl),8139206
05/01/2006,Federal,Onshore,Gas Prod Vol (mcf),285687668
05/01/2006,Native American,Onshore,Coal Prod Vol (tons),2448381
05/01/2006,Native American,Onshore,Oil Prod Vol (bbl),946652
05/01/2006,Native American,Onshore,Gas Prod Vol (mcf),28211595
05/01/2006,Federal,Onshore,Coal Prod Vol (tons),39222190
05/01/2006,Federal,Offshore,Gas Prod Vol (mcf),263859110
05/01/2006,Federal,Offshore,Oil Prod Vol (bbl),42632117
06/01/2006,Federal,Offshore,Oil Prod Vol (bbl),42325078
06/01/2006,Federal,Offshore,Gas Prod Vol (mcf),254684178
06/01/2006,Native American,Onshore,Gas Prod Vol (mcf),27185691
06/01/2006,Native American,Onshore,Oil Prod Vol (bbl),911682
06/01/2006,Native American,Onshore,Coal Prod Vol (tons),1765339
06/01/2006,Federal,Onshore,Gas Prod Vol (mcf),278394047
06/01/2006,Federal,Onshore,Oil Prod Vol (bbl),7833114
06/01/2006,Federal,Onshore,Coal Prod Vol (tons),38664425
